State,County,Black low access to store (%) 2015 (PCT_LACCESS_BLACK15),Units,FIPS,FID
Georgia,Liberty,17.479040289045436,Percent,13179,855
Georgia,Lincoln,0.8461166279966659,Percent,13181,857
Georgia,Long,2.76397567126474,Percent,13183,860
Georgia,Lowndes,10.248821788823708,Percent,13185,863
Georgia,Lumpkin,0.012915708293211774,Percent,13187,865
Georgia,McDuffie,5.395129485212617,Percent,13189,868
Georgia,McIntosh,1.6922541352538338,Percent,13191,871
Georgia,Macon,12.575069842963366,Percent,13193,874
Georgia,Madison,0.47842079807135846,Percent,13195,875
Georgia,Marion,0.0,Percent,13197,877
Georgia,Meriwether,1.6922671022557474,Percent,13199,879
Georgia,Miller,1.0549344661222564,Percent,13201,881
Georgia,Mitchell,7.519362441554728,Percent,13205,883
Georgia,Monroe,5.026118493172948,Percent,13207,885
Georgia,Montgomery,3.531946515208955,Percent,13209,887
Georgia,Morgan,7.9273420405881465,Percent,13211,890
Georgia,Murray,0.0846955018907901,Percent,13213,892
Georgia,Muscogee,14.339753953951128,Percent,13215,896
Georgia,Newton,12.796477390962604,Percent,13217,899
Georgia,Oconee,2.011665634275332,Percent,13219,901
Georgia,Oglethorpe,1.0509392015554802,Percent,13221,905
Georgia,Paulding,4.931877386313981,Percent,13223,908
Georgia,Peach,9.398878382009316,Percent,13225,910
Georgia,Pickens,0.0547962535084428,Percent,13227,912
Georgia,Pierce,0.48436999611237497,Percent,13229,915
Georgia,Pike,0.0,Percent,13231,7
Georgia,Polk,1.7462366932845592,Percent,13233,8
