State,County,WIC infant and children participants (% infant & children) 2016 (PCT_WICINFANTCHILD16),Units,FIPS,FID
Georgia,Macon,28.307644706562307,Percent,13193,874
Georgia,Madison,28.307644706562307,Percent,13195,875
Georgia,Marion,28.307644706562307,Percent,13197,877
Georgia,Meriwether,28.307644706562307,Percent,13199,879
Georgia,Miller,28.307644706562307,Percent,13201,881
Georgia,Mitchell,28.307644706562307,Percent,13205,883
Georgia,Monroe,28.307644706562307,Percent,13207,885
Georgia,Montgomery,28.307644706562307,Percent,13209,887
Georgia,Morgan,28.307644706562307,Percent,13211,890
Georgia,Murray,28.307644706562307,Percent,13213,892
Georgia,Muscogee,28.307644706562307,Percent,13215,896
Georgia,Newton,28.307644706562307,Percent,13217,899
Georgia,Oconee,28.307644706562307,Percent,13219,901
Georgia,Oglethorpe,28.307644706562307,Percent,13221,905
Georgia,Paulding,28.307644706562307,Percent,13223,908
Georgia,Peach,28.307644706562307,Percent,13225,910
Georgia,Pickens,28.307644706562307,Percent,13227,912
Georgia,Pierce,28.307644706562307,Percent,13229,915
Georgia,Pike,28.307644706562307,Percent,13231,7
Georgia,Polk,28.307644706562307,Percent,13233,8
Georgia,Pulaski,28.307644706562307,Percent,13235,11
Georgia,Putnam,28.307644706562307,Percent,13237,13
Georgia,Quitman,28.307644706562307,Percent,13239,16
Georgia,Rabun,28.307644706562307,Percent,13241,18
Georgia,Randolph,28.307644706562307,Percent,13243,23
Georgia,Richmond,28.307644706562307,Percent,13245,24
Georgia,Rockdale,28.307644706562307,Percent,13247,28
