State,County,Students eligible for free lunch (%) 2015 (PCT_FREE_LUNCH15),Units,FIPS,FID
Florida,Baker,14.9140343862455,Percent,12003,641
Florida,Bay,45.16756056297469,Percent,12005,658
Florida,Bradford,0.0,Percent,12007,665
Florida,Brevard,41.27890183348693,Percent,12009,686
Florida,Broward,52.32432712944395,Percent,12011,695
Florida,Calhoun,56.488203266787664,Percent,12013,699
Florida,Charlotte,45.607371894651635,Percent,12015,743
Florida,Citrus,58.94785055290191,Percent,12017,843
Florida,Clay,35.85219979790807,Percent,12019,852
Florida,Collier,57.47923642214202,Percent,12021,894
Florida,Columbia,51.882063882063875,Percent,12023,903
Florida,DeSoto,66.0284126003706,Percent,12027,906
Florida,Dixie,nan,Percent,12029,918
Florida,Duval,38.47160026468461,Percent,12031,924
Florida,Escambia,57.35087935063338,Percent,12033,931
Florida,Flagler,47.912478738209366,Percent,12035,935
Florida,Franklin,0.2329192546583851,Percent,12037,937
Florida,Gadsden,55.89045814674475,Percent,12039,938
Florida,Gilchrist,33.69604642727603,Percent,12041,939
Florida,Glades,nan,Percent,12043,940
Florida,Gulf,46.18535586277522,Percent,12045,941
Florida,Hamilton,nan,Percent,12047,942
Florida,Hardee,50.199961912016754,Percent,12049,943
Florida,Hendry,21.12051033143808,Percent,12051,944
Florida,Hernando,32.60957883808062,Percent,12053,945
Florida,Highlands,71.35122030063036,Percent,12055,946
Florida,Hillsborough,47.973716655723145,Percent,12057,947
Florida,Holmes,44.42092530994859,Percent,12059,948
Florida,Indian River,49.60231381055676,Percent,12061,949
Florida,Jackson,64.17518248175182,Percent,12063,950
Florida,Jefferson,nan,Percent,12065,951
Florida,Lafayette,nan,Percent,12067,952
Florida,Lake,52.65884791107342,Percent,12069,953
Florida,Lee,52.5972248080693,Percent,12071,954
Florida,Leon,39.74854663291703,Percent,12073,955
Florida,Levy,52.051517939282434,Percent,12075,956
Florida,Liberty,24.825662482566248,Percent,12077,957
Florida,Madison,61.28787878787879,Percent,12079,958
Florida,Manatee,27.087555316597044,Percent,12081,959
Florida,Marion,51.77996547380208,Percent,12083,960
Florida,Martin,40.01263556912709,Percent,12085,961
Florida,Miami-Dade,64.43974618196259,Percent,12086,962
Florida,Monroe,25.148139369518844,Percent,12087,963
Florida,Nassau,46.050181753701565,Percent,12089,964
Florida,Okaloosa,36.61792545205301,Percent,12091,965
Florida,Okeechobee,66.4686166971359,Percent,12093,966
Florida,Orange,48.73065982268759,Percent,12095,967
Florida,Osceola,48.31220554665113,Percent,12097,968
Florida,Palm Beach,50.03229651880288,Percent,12099,969
Florida,Pasco,41.70203705018099,Percent,12101,970
Florida,Pinellas,38.07430076702564,Percent,12103,971
Florida,Polk,51.3269148608503,Percent,12105,972
Florida,Putnam,0.0,Percent,12107,973
Florida,St. Johns,21.179790378930395,Percent,12109,974
Florida,St. Lucie,27.858296959027662,Percent,12111,975
Florida,Santa Rosa,38.38444278234854,Percent,12113,976
Florida,Sarasota,44.18637586744087,Percent,12115,977
Florida,Seminole,32.590005373455135,Percent,12117,978
Florida,Sumter,47.550972580267164,Percent,12119,979
Florida,Suwannee,28.939970233173472,Percent,12121,980
Florida,Taylor,58.67208672086721,Percent,12123,981
Florida,Union,50.34275921165381,Percent,12125,982
Florida,Volusia,54.130116959064324,Percent,12127,983
Florida,Wakulla,44.358127791804236,Percent,12129,984
Florida,Walton,47.63948497854077,Percent,12131,985
Florida,Washington,nan,Percent,12133,986
Georgia,Appling,64.45182724252491,Percent,13001,987
Georgia,Atkinson,78.66279069767442,Percent,13003,988
Georgia,Bacon,72.02797202797203,Percent,13005,989
Georgia,Baker,99.07120743034056,Percent,13007,990
Georgia,Baldwin,75.61694290976058,Percent,13009,991
Georgia,Banks,58.072437077961936,Percent,13011,992
Georgia,Barrow,48.26867227641671,Percent,13013,993
Georgia,Bartow,49.73170326934779,Percent,13015,994
Georgia,Ben Hill,98.50791717417783,Percent,13017,995
Georgia,Berrien,83.53091957705864,Percent,13019,996
Georgia,Bibb,98.73968370126438,Percent,13021,997
Georgia,Bleckley,69.41457586618877,Percent,13023,998
Georgia,Brantley,82.1285140562249,Percent,13025,999
Georgia,Brooks,95.84306398879029,Percent,13027,565
Georgia,Bryan,29.381619405534675,Percent,13029,573
