State,County,SNAP Broad-based Categorical Eligibility 2016 (SNAP_BBCE16),Units,FIPS,FID
Idaho,Teton,1,Classification,16081,627
Idaho,Twin Falls,1,Classification,16083,634
Idaho,Valley,1,Classification,16085,643
Idaho,Washington,1,Classification,16087,649
Illinois,Adams,1,Classification,17001,650
Illinois,Alexander,1,Classification,17003,651
Illinois,Bond,1,Classification,17005,652
Illinois,Boone,1,Classification,17007,653
Illinois,Brown,1,Classification,17009,654
Illinois,Bureau,1,Classification,17011,2
Illinois,Calhoun,1,Classification,17013,4
Illinois,Carroll,1,Classification,17015,6
Illinois,Cass,1,Classification,17017,10
Illinois,Champaign,1,Classification,17019,12
Illinois,Christian,1,Classification,17021,14
Illinois,Clark,1,Classification,17023,19
Illinois,Clay,1,Classification,17025,22
Illinois,Clinton,1,Classification,17027,27
Illinois,Coles,1,Classification,17029,30
Illinois,Cook,1,Classification,17031,36
Illinois,Crawford,1,Classification,17033,40
Illinois,Cumberland,1,Classification,17035,44
Illinois,DeKalb,1,Classification,17037,49
Illinois,De Witt,1,Classification,17039,53
Illinois,Douglas,1,Classification,17041,55
Illinois,DuPage,1,Classification,17043,64
Illinois,Edgar,1,Classification,17045,66
Illinois,Edwards,1,Classification,17047,71
Illinois,Effingham,1,Classification,17049,76
Illinois,Fayette,1,Classification,17051,79
Illinois,Ford,1,Classification,17053,81
Illinois,Franklin,1,Classification,17055,85
Illinois,Fulton,1,Classification,17057,89
Illinois,Gallatin,1,Classification,17059,92
Illinois,Greene,1,Classification,17061,96
Illinois,Grundy,1,Classification,17063,99
Illinois,Hamilton,1,Classification,17065,106
Illinois,Hancock,1,Classification,17067,111
Illinois,Hardin,1,Classification,17069,113
Illinois,Henderson,1,Classification,17071,117
Illinois,Henry,1,Classification,17073,121
Illinois,Iroquois,1,Classification,17075,125
Illinois,Jackson,1,Classification,17077,129
Illinois,Jasper,1,Classification,17079,133
Illinois,Jefferson,1,Classification,17081,137
Illinois,Jersey,1,Classification,17083,142
Illinois,Jo Daviess,1,Classification,17085,145
Illinois,Johnson,1,Classification,17087,152
Illinois,Kane,1,Classification,17089,156
Illinois,Kankakee,1,Classification,17091,161
Illinois,Kendall,1,Classification,17093,165
Illinois,Knox,1,Classification,17095,166
Illinois,Lake,1,Classification,17097,170
Illinois,LaSalle,1,Classification,17099,175
Illinois,Lawrence,1,Classification,17101,177
Illinois,Lee,1,Classification,17103,180
Illinois,Livingston,1,Classification,17105,182
Illinois,Logan,1,Classification,17107,186
Illinois,McDonough,1,Classification,17109,189
Illinois,McHenry,1,Classification,17111,192
Illinois,McLean,1,Classification,17113,193
Illinois,Macon,1,Classification,17115,194
Illinois,Macoupin,1,Classification,17117,196
Illinois,Madison,1,Classification,17119,199
Illinois,Marion,1,Classification,17121,201
