State,County,School Breakfast Program participants (change % children) 2012-17 (PCH_SBP_12_17),Units,FIPS,FID
Colorado,Jefferson,3.7190190257610034,Percentage points,8059,706
Colorado,Kiowa,3.7190190257610034,Percentage points,8061,711
Colorado,Kit Carson,3.7190190257610034,Percentage points,8063,716
Colorado,Lake,3.7190190257610034,Percentage points,8065,721
Colorado,La Plata,3.7190190257610034,Percentage points,8067,727
Colorado,Larimer,3.7190190257610034,Percentage points,8069,734
Colorado,Las Animas,3.7190190257610034,Percentage points,8071,741
Colorado,Lincoln,3.7190190257610034,Percentage points,8073,747
Colorado,Logan,3.7190190257610034,Percentage points,8075,749
Colorado,Mesa,3.7190190257610034,Percentage points,8077,751
Colorado,Mineral,3.7190190257610034,Percentage points,8079,757
Colorado,Moffat,3.7190190257610034,Percentage points,8081,758
Colorado,Montezuma,3.7190190257610034,Percentage points,8083,766
Colorado,Montrose,3.7190190257610034,Percentage points,8085,769
Colorado,Morgan,3.7190190257610034,Percentage points,8087,775
Colorado,Otero,3.7190190257610034,Percentage points,8089,777
Colorado,Ouray,3.7190190257610034,Percentage points,8091,780
Colorado,Park,3.7190190257610034,Percentage points,8093,782
Colorado,Phillips,3.7190190257610034,Percentage points,8095,785
Colorado,Pitkin,3.7190190257610034,Percentage points,8097,789
Colorado,Prowers,3.7190190257610034,Percentage points,8099,792
Colorado,Pueblo,3.7190190257610034,Percentage points,8101,795
Colorado,Rio Blanco,3.7190190257610034,Percentage points,8103,799
Colorado,Rio Grande,3.7190190257610034,Percentage points,8105,802
Colorado,Routt,3.7190190257610034,Percentage points,8107,809
Colorado,Saguache,3.7190190257610034,Percentage points,8109,811
Colorado,San Juan,3.7190190257610034,Percentage points,8111,347
Colorado,San Miguel,3.7190190257610034,Percentage points,8113,359
Colorado,Sedgwick,3.7190190257610034,Percentage points,8115,366
Colorado,Summit,3.7190190257610034,Percentage points,8117,373
Colorado,Teller,3.7190190257610034,Percentage points,8119,375
Colorado,Washington,3.7190190257610034,Percentage points,8121,377
Colorado,Weld,3.7190190257610034,Percentage points,8123,382
Colorado,Yuma,3.7190190257610034,Percentage points,8125,385
Connecticut,Fairfield,4.639417074390932,Percentage points,9001,410
Connecticut,Hartford,4.639417074390932,Percentage points,9003,432
Connecticut,Litchfield,4.639417074390932,Percentage points,9005,443
Connecticut,Middlesex,4.639417074390932,Percentage points,9007,450
Connecticut,New Haven,4.639417074390932,Percentage points,9009,466
Connecticut,New London,4.639417074390932,Percentage points,9011,517
Connecticut,Tolland,4.639417074390932,Percentage points,9013,524
Connecticut,Windham,4.639417074390932,Percentage points,9015,529
Delaware,Kent,9.625548000647502,Percentage points,10001,532
Delaware,New Castle,9.625548000647502,Percentage points,10003,536
Delaware,Sussex,9.625548000647502,Percentage points,10005,609
District of Columbia,District of Columbia,-0.9980799237157285,Percentage points,11001,630
Florida,Alachua,4.134603951866904,Percentage points,12001,639
Florida,Baker,4.134603951866904,Percentage points,12003,641
Florida,Bay,4.134603951866904,Percentage points,12005,658
Florida,Bradford,4.134603951866904,Percentage points,12007,665
Florida,Brevard,4.134603951866904,Percentage points,12009,686
Florida,Broward,4.134603951866904,Percentage points,12011,695
Florida,Calhoun,4.134603951866904,Percentage points,12013,699
Florida,Charlotte,4.134603951866904,Percentage points,12015,743
Florida,Citrus,4.134603951866904,Percentage points,12017,843
Florida,Clay,4.134603951866904,Percentage points,12019,852
Florida,Collier,4.134603951866904,Percentage points,12021,894
Florida,Columbia,4.134603951866904,Percentage points,12023,903
Florida,DeSoto,4.134603951866904,Percentage points,12027,906
Florida,Dixie,4.134603951866904,Percentage points,12029,918
Florida,Duval,4.134603951866904,Percentage points,12031,924
Florida,Escambia,4.134603951866904,Percentage points,12033,931
Florida,Flagler,4.134603951866904,Percentage points,12035,935
Florida,Franklin,4.134603951866904,Percentage points,12037,937
Florida,Gadsden,4.134603951866904,Percentage points,12039,938
Florida,Gilchrist,4.134603951866904,Percentage points,12041,939
Florida,Glades,4.134603951866904,Percentage points,12043,940
Florida,Gulf,4.134603951866904,Percentage points,12045,941
Florida,Hamilton,4.134603951866904,Percentage points,12047,942
Florida,Hardee,4.134603951866904,Percentage points,12049,943
Florida,Hendry,4.134603951866904,Percentage points,12051,944
Florida,Hernando,4.134603951866904,Percentage points,12053,945
Florida,Highlands,4.134603951866904,Percentage points,12055,946
Florida,Hillsborough,4.134603951866904,Percentage points,12057,947
Florida,Holmes,4.134603951866904,Percentage points,12059,948
Florida,Indian River,4.134603951866904,Percentage points,12061,949
Florida,Jackson,4.134603951866904,Percentage points,12063,950
Florida,Jefferson,4.134603951866904,Percentage points,12065,951
Florida,Lafayette,4.134603951866904,Percentage points,12067,952
Florida,Lake,4.134603951866904,Percentage points,12069,953
Florida,Lee,4.134603951866904,Percentage points,12071,954
Florida,Leon,4.134603951866904,Percentage points,12073,955
Florida,Levy,4.134603951866904,Percentage points,12075,956
Florida,Liberty,4.134603951866904,Percentage points,12077,957
Florida,Madison,4.134603951866904,Percentage points,12079,958
Florida,Manatee,4.134603951866904,Percentage points,12081,959
Florida,Marion,4.134603951866904,Percentage points,12083,960
Florida,Martin,4.134603951866904,Percentage points,12085,961
Florida,Miami-Dade,4.134603951866904,Percentage points,12086,962
