State,County,Farms with direct sales (%) 2012 (PCT_LOCLFARM12),Units,FIPS,FID
Georgia,Baker,1.3333333333333335,Percent,13007.0,990
Georgia,Baldwin,5.64516129032258,Percent,13009.0,991
Georgia,Banks,3.275529865125241,Percent,13011.0,992
Georgia,Barrow,5.921052631578947,Percent,13013.0,993
Georgia,Bartow,5.240174672489083,Percent,13015.0,994
Georgia,Ben Hill,3.827751196172249,Percent,13017.0,995
Georgia,Berrien,2.8947368421052633,Percent,13019.0,996
Georgia,Bibb,12.389380530973451,Percent,13021.0,997
Georgia,Bleckley,1.82648401826484,Percent,13023.0,998
Georgia,Brantley,3.7209302325581395,Percent,13025.0,999
Georgia,Brooks,5.769230769230769,Percent,13027.0,565
Georgia,Bryan,10.0,Percent,13029.0,573
Georgia,Bulloch,5.330882352941177,Percent,13031.0,579
Georgia,Burke,7.633587786259542,Percent,13033.0,583
Georgia,Butts,9.285714285714286,Percent,13035.0,588
Georgia,Calhoun,3.9735099337748347,Percent,13037.0,592
Georgia,Camden,20.28985507246377,Percent,13039.0,603
Georgia,Candler,1.2605042016806722,Percent,13043.0,616
Georgia,Carroll,2.42024202420242,Percent,13045.0,620
Georgia,Catoosa,9.293680297397769,Percent,13047.0,626
Georgia,Charlton,9.523809523809524,Percent,13049.0,635
Georgia,Chatham,14.285714285714285,Percent,13051.0,646
Georgia,Chattahoochee,0.0,Percent,13053.0,656
Georgia,Chattooga,6.8493150684931505,Percent,13055.0,659
Georgia,Cherokee,7.674418604651163,Percent,13057.0,662
Georgia,Clarke,10.0,Percent,13059.0,666
Georgia,Clay,0.0,Percent,13061.0,670
Georgia,Clayton,0.0,Percent,13063.0,673
Georgia,Clinch,11.25,Percent,13065.0,676
Georgia,Cobb,14.545454545454545,Percent,13067.0,680
Georgia,Coffee,3.0664395229982966,Percent,13069.0,684
Georgia,Colquitt,3.512396694214876,Percent,13071.0,689
Georgia,Columbia,4.827586206896552,Percent,13073.0,692
Georgia,Cook,1.7094017094017095,Percent,13075.0,697
Georgia,Coweta,5.322128851540616,Percent,13077.0,700
Georgia,Crawford,9.67741935483871,Percent,13079.0,704
Georgia,Crisp,2.459016393442623,Percent,13081.0,707
Georgia,Dade,8.333333333333332,Percent,13083.0,708
Georgia,Dawson,4.395604395604396,Percent,13085.0,713
Georgia,Decatur,2.5139664804469275,Percent,13087.0,714
Georgia,DeKalb,20.0,Percent,13089.0,718
Georgia,Dodge,4.239401496259352,Percent,13091.0,720
Georgia,Dooly,3.793103448275862,Percent,13093.0,724
Georgia,Dougherty,1.6528925619834711,Percent,13095.0,728
Georgia,Douglas,10.256410256410255,Percent,13097.0,731
Georgia,Early,0.29940119760479045,Percent,13099.0,735
Georgia,Echols,12.5,Percent,13101.0,737
Georgia,Effingham,15.053763440860216,Percent,13103.0,742
Georgia,Elbert,2.4330900243309004,Percent,13105.0,746
Georgia,Emanuel,4.337899543378995,Percent,13107.0,750
Georgia,Evans,5.445544554455446,Percent,13109.0,754
Georgia,Fannin,8.585858585858585,Percent,13111.0,755
Georgia,Fayette,8.73015873015873,Percent,13113.0,760
Georgia,Floyd,7.155635062611807,Percent,13115.0,764
Georgia,Forsyth,7.395498392282958,Percent,13117.0,768
Georgia,Franklin,3.096774193548387,Percent,13119.0,772
Georgia,Fulton,20.32085561497326,Percent,13121.0,779
Georgia,Gilmer,5.405405405405405,Percent,13123.0,781
Georgia,Glascock,1.0416666666666665,Percent,13125.0,783
Georgia,Glynn,13.20754716981132,Percent,13127.0,793
Georgia,Gordon,4.918032786885246,Percent,13129.0,796
Georgia,Grady,2.9723991507431,Percent,13131.0,797
Georgia,Greene,4.66321243523316,Percent,13133.0,800
Georgia,Gwinnett,12.290502793296088,Percent,13135.0,804
Georgia,Habersham,4.976303317535545,Percent,13137.0,806
Georgia,Hall,5.787781350482315,Percent,13139.0,808
Georgia,Hancock,10.526315789473683,Percent,13141.0,810
Georgia,Haralson,6.0200668896321075,Percent,13143.0,813
Georgia,Harris,6.746031746031746,Percent,13145.0,814
Georgia,Hart,5.136986301369863,Percent,13147.0,816
Georgia,Heard,4.761904761904762,Percent,13149.0,817
Georgia,Henry,12.204724409448819,Percent,13151.0,820
Georgia,Houston,12.831858407079647,Percent,13153.0,823
Georgia,Irwin,1.0723860589812333,Percent,13155.0,825
Georgia,Jackson,4.7803617571059425,Percent,13157.0,828
Georgia,Jasper,6.2761506276150625,Percent,13159.0,830
Georgia,Jeff Davis,3.6458333333333335,Percent,13161.0,832
Georgia,Jefferson,4.4692737430167595,Percent,13163.0,834
Georgia,Jenkins,0.4464285714285714,Percent,13165.0,835
Georgia,Johnson,4.705882352941177,Percent,13167.0,837
Georgia,Jones,7.428571428571429,Percent,13169.0,839
Georgia,Lamar,5.952380952380952,Percent,13171.0,841
Georgia,Lanier,3.488372093023256,Percent,13173.0,845
Georgia,Laurens,3.45821325648415,Percent,13175.0,847
Georgia,Lee,4.166666666666666,Percent,13177.0,849
Georgia,Liberty,23.91304347826087,Percent,13179.0,855
Georgia,Lincoln,1.3333333333333335,Percent,13181.0,857
Georgia,Long,5.970149253731343,Percent,13183.0,860
Georgia,Lowndes,7.0559610705596105,Percent,13185.0,863
Georgia,Lumpkin,2.727272727272727,Percent,13187.0,865
