State,County,Direct farm sales per capita (% change) 2007 - 12 (PCH_PC_DIRSALES_07_12),Units,FIPS,FID
Colorado,Lake,1.4966360016476645,% change,8065.0,721
Colorado,La Plata,53.760645878668925,% change,8067.0,727
Colorado,Larimer,97.95628168784056,% change,8069.0,734
Colorado,Las Animas,7.6707375684716625,% change,8071.0,741
Colorado,Lincoln,199.91258780442976,% change,8073.0,747
Colorado,Logan,-52.01497692180851,% change,8075.0,749
Colorado,Mesa,-29.501355258418116,% change,8077.0,751
Colorado,Mineral,nan,% change,8079.0,757
Colorado,Moffat,-90.3042312573047,% change,8081.0,758
Colorado,Montezuma,2.4375562498632593,% change,8083.0,766
Colorado,Montrose,2.619841816902711,% change,8085.0,769
Colorado,Morgan,-82.68009077906257,% change,8087.0,775
Colorado,Otero,1637.770642692781,% change,8089.0,777
Colorado,Ouray,-42.3992673992674,% change,8091.0,780
Colorado,Park,146.3824208752107,% change,8093.0,782
Colorado,Phillips,56.92778936392075,% change,8095.0,785
Colorado,Pitkin,-2.7910868266029123,% change,8097.0,789
Colorado,Prowers,105.46906509639426,% change,8099.0,792
Colorado,Pueblo,-7.192141046796791,% change,8101.0,795
Colorado,Rio Blanco,93.2383262583384,% change,8103.0,799
Colorado,Rio Grande,-38.299169335591586,% change,8105.0,802
Colorado,Routt,181.79216867469876,% change,8107.0,809
Colorado,Saguache,nan,% change,8109.0,811
Colorado,San Juan,nan,% change,8111.0,347
Colorado,San Miguel,3.971924699772812,% change,8113.0,359
Colorado,Sedgwick,253.83319292333618,% change,8115.0,366
Colorado,Summit,nan,% change,8117.0,373
Colorado,Teller,132.08188935951736,% change,8119.0,375
Colorado,Washington,-36.13390423217776,% change,8121.0,377
Colorado,Weld,-28.142922243856038,% change,8123.0,382
Colorado,Yuma,-50.18768432734698,% change,8125.0,385
Connecticut,Fairfield,1.829619147636182,% change,9001.0,410
Connecticut,Hartford,-20.673614528300224,% change,9003.0,432
Connecticut,Litchfield,52.741967318679485,% change,9005.0,443
Connecticut,Middlesex,-21.14897576084819,% change,9007.0,450
Connecticut,New Haven,4.6490244411246096,% change,9009.0,466
Connecticut,New London,29.717689819554444,% change,9011.0,517
Connecticut,Tolland,50.66789956863652,% change,9013.0,524
Connecticut,Windham,14.90221421949511,% change,9015.0,529
Delaware,Kent,-28.552620850262418,% change,10001.0,532
Delaware,New Castle,41.80944965523944,% change,10003.0,536
Delaware,Sussex,41.152832334897525,% change,10005.0,609
District of Columbia,District of Columbia,nan,% change,11001.0,630
Florida,Alachua,-2.2916060977795807,% change,12001.0,639
Florida,Baker,264.630691767123,% change,12003.0,641
Florida,Bay,-25.807435351990954,% change,12005.0,658
Florida,Bradford,-65.58553769823452,% change,12007.0,665
Florida,Brevard,31.559107970267874,% change,12009.0,686
Florida,Broward,53.618966380481304,% change,12011.0,695
Florida,Calhoun,-12.962056303549566,% change,12013.0,699
Florida,Charlotte,-37.74236431070818,% change,12015.0,743
Florida,Citrus,22.48027790721343,% change,12017.0,843
Florida,Clay,32.29395513496236,% change,12019.0,852
Florida,Collier,-94.59638555510922,% change,12021.0,894
Florida,Columbia,17.910900899872424,% change,12023.0,903
Florida,DeSoto,-47.45066415105823,% change,12027.0,906
Florida,Dixie,-47.29304581503572,% change,12029.0,918
Florida,Duval,36.194421805491814,% change,12031.0,924
Florida,Escambia,-28.064109817942118,% change,12033.0,931
Florida,Flagler,152.50456482045044,% change,12035.0,935
Florida,Franklin,nan,% change,12037.0,937
Florida,Gadsden,-22.788207021454443,% change,12039.0,938
Florida,Gilchrist,228.36523965229802,% change,12041.0,939
Florida,Glades,-72.95029000126088,% change,12043.0,940
Florida,Gulf,nan,% change,12045.0,941
Florida,Hamilton,-74.12410873703752,% change,12047.0,942
Florida,Hardee,-8.765652951699462,% change,12049.0,943
Florida,Hendry,273.3027919005126,% change,12051.0,944
Florida,Hernando,-58.874489777008954,% change,12053.0,945
Florida,Highlands,64.6674573101643,% change,12055.0,946
Florida,Hillsborough,-27.66433472010082,% change,12057.0,947
Florida,Holmes,-29.853405590861243,% change,12059.0,948
Florida,Indian River,-81.3956042219694,% change,12061.0,949
Florida,Jackson,207.1562274369827,% change,12063.0,950
Florida,Jefferson,30.525855525855526,% change,12065.0,951
Florida,Lafayette,-48.21138732800852,% change,12067.0,952
Florida,Lake,210.48495413482954,% change,12069.0,953
Florida,Lee,57.55358122734562,% change,12071.0,954
Florida,Leon,nan,% change,12073.0,955
Florida,Levy,-40.12429302593742,% change,12075.0,956
Florida,Liberty,-100.0,% change,12077.0,957
Florida,Madison,-73.1942265041629,% change,12079.0,958
Florida,Manatee,-39.17127273646695,% change,12081.0,959
Florida,Marion,-14.925031799083971,% change,12083.0,960
Florida,Martin,73.33088459938773,% change,12085.0,961
Florida,Miami-Dade,31.8722949808123,% change,12086.0,962
Florida,Monroe,nan,% change,12087.0,963
Florida,Nassau,-16.274898910995724,% change,12089.0,964
Florida,Okaloosa,-70.22304796270798,% change,12091.0,965
Florida,Okeechobee,-54.015648952628226,% change,12093.0,966
Florida,Orange,-15.992307069968428,% change,12095.0,967
Florida,Osceola,-59.08129235596811,% change,12097.0,968
Florida,Palm Beach,-8.562639110378074,% change,12099.0,969
Florida,Pasco,190.4442789928496,% change,12101.0,970
Florida,Pinellas,nan,% change,12103.0,971
Florida,Polk,-60.179682495808095,% change,12105.0,972
Florida,Putnam,-40.69532397391153,% change,12107.0,973
Florida,St. Johns,30.031497075271567,% change,12109.0,974
Florida,St. Lucie,-12.54130794915152,% change,12111.0,975
Florida,Santa Rosa,2.5979660760579963,% change,12113.0,976
Florida,Sarasota,-42.100535176874295,% change,12115.0,977
Florida,Seminole,-3.6738112279015267,% change,12117.0,978
Florida,Sumter,29.771095728132856,% change,12119.0,979
Florida,Suwannee,223.71457764640238,% change,12121.0,980
Florida,Taylor,-47.715683296833284,% change,12123.0,981
Florida,Union,47.76634020629296,% change,12125.0,982
Florida,Volusia,-48.811871078569155,% change,12127.0,983
Florida,Wakulla,1.5614242698203964,% change,12129.0,984
Florida,Walton,27.12567257794164,% change,12131.0,985
Florida,Washington,134.89924933130087,% change,12133.0,986
Georgia,Appling,nan,% change,13001.0,987
Georgia,Atkinson,55.8252427184466,% change,13003.0,988
Georgia,Bacon,-75.47186689328204,% change,13005.0,989
Georgia,Baker,nan,% change,13007.0,990
Georgia,Baldwin,24.305652417237074,% change,13009.0,991
Georgia,Banks,-0.7489032081162628,% change,13011.0,992
Georgia,Barrow,162.57094046315805,% change,13013.0,993
Georgia,Bartow,-54.156161632908706,% change,13015.0,994
Georgia,Ben Hill,16.615331964407932,% change,13017.0,995
Georgia,Berrien,nan,% change,13019.0,996
Georgia,Bibb,nan,% change,13021.0,997
Georgia,Bleckley,-16.6678460351317,% change,13023.0,998
Georgia,Brantley,122.95621555798235,% change,13025.0,999
Georgia,Brooks,211.90204998519744,% change,13027.0,565
Georgia,Bryan,-91.23342832362779,% change,13029.0,573
Georgia,Bulloch,-6.647508120336966,% change,13031.0,579
Georgia,Burke,-64.97214568639342,% change,13033.0,583
Georgia,Butts,908.0859408304203,% change,13035.0,588
Georgia,Calhoun,nan,% change,13037.0,592
Georgia,Camden,605.1234231428126,% change,13039.0,603
Georgia,Candler,-56.121722911125694,% change,13043.0,616
Georgia,Carroll,1.2835382429576685,% change,13045.0,620
Georgia,Catoosa,-54.50185080176466,% change,13047.0,626
Georgia,Charlton,nan,% change,13049.0,635
Georgia,Chatham,nan,% change,13051.0,646
Georgia,Chattahoochee,nan,% change,13053.0,656
Georgia,Chattooga,263.3594295328641,% change,13055.0,659
Georgia,Cherokee,-24.860072311052704,% change,13057.0,662
Georgia,Clarke,nan,% change,13059.0,666
Georgia,Clay,nan,% change,13061.0,670
Georgia,Clayton,nan,% change,13063.0,673
Georgia,Clinch,nan,% change,13065.0,676
Georgia,Cobb,58.376294037839024,% change,13067.0,680
Georgia,Coffee,130.94414116326328,% change,13069.0,684
Georgia,Colquitt,-69.8510680780855,% change,13071.0,689
Georgia,Columbia,180.42808860006676,% change,13073.0,692
