State,County,Low income & low access to store (%) 2010 (PCT_LACCESS_LOWI10),Units,FIPS,FID
Georgia,Lee,3.792811017867164,Percent,13177,849
Georgia,Liberty,17.79961254120956,Percent,13179,855
Georgia,Lincoln,3.520675350911618,Percent,13181,857
Georgia,Long,4.991380572038523,Percent,13183,860
Georgia,Lowndes,8.928566141738155,Percent,13185,863
Georgia,Lumpkin,0.5716601600378862,Percent,13187,865
Georgia,McDuffie,4.417911120183273,Percent,13189,868
Georgia,McIntosh,3.644309671148783,Percent,13191,871
Georgia,Macon,8.959380060666554,Percent,13193,874
Georgia,Madison,1.3626170871549148,Percent,13195,875
Georgia,Marion,41.697046603013725,Percent,13197,877
Georgia,Meriwether,0.7925172726543334,Percent,13199,879
Georgia,Miller,1.9614968332396736,Percent,13201,881
Georgia,Mitchell,9.575651246287132,Percent,13205,883
Georgia,Monroe,4.149340654265706,Percent,13207,885
Georgia,Montgomery,5.891405165743593,Percent,13209,887
Georgia,Morgan,7.6435603833095485,Percent,13211,890
Georgia,Murray,6.144605908197208,Percent,13213,892
Georgia,Muscogee,12.74962140463138,Percent,13215,896
Georgia,Newton,9.267998181877198,Percent,13217,899
Georgia,Oconee,5.3707678046713605,Percent,13219,901
Georgia,Oglethorpe,1.5323852203044566,Percent,13221,905
Georgia,Paulding,5.879079476291482,Percent,13223,908
Georgia,Peach,8.85783882363293,Percent,13225,910
Georgia,Pickens,2.4056708440480445,Percent,13227,912
Georgia,Pierce,4.00606710210612,Percent,13229,915
Georgia,Pike,0.0,Percent,13231,7
Georgia,Polk,5.4467882396300915,Percent,13233,8
Georgia,Pulaski,5.174029770744929,Percent,13235,11
Georgia,Putnam,1.3716110949672873,Percent,13237,13
Georgia,Quitman,23.33640564013251,Percent,13239,16
Georgia,Rabun,0.14568991552849164,Percent,13241,18
