State,County,Vegetable acres harvested for fresh market per 1000 pop 2012 (FRESHVEG_ACRESPTH12),Units,FIPS,FID
California,San Francisco,0.0,"Acres/1,000 pop",6075.0,331
California,San Joaquin,41.25372078966276,"Acres/1,000 pop",6077.0,339
California,San Luis Obispo,87.90320230775954,"Acres/1,000 pop",6079.0,351
California,San Mateo,1.6526136003078398,"Acres/1,000 pop",6081.0,368
California,Santa Barbara,135.83352867318212,"Acres/1,000 pop",6083.0,391
California,Santa Clara,4.715643902899988,"Acres/1,000 pop",6085.0,406
California,Santa Cruz,64.1305040941946,"Acres/1,000 pop",6087.0,415
California,Shasta,0.7342185056691758,"Acres/1,000 pop",6089.0,431
California,Sierra,0.0,"Acres/1,000 pop",6091.0,439
California,Siskiyou,74.81652622995378,"Acres/1,000 pop",6093.0,446
California,Solano,4.560376819868684,"Acres/1,000 pop",6095.0,453
California,Sonoma,2.241485412005396,"Acres/1,000 pop",6097.0,463
California,Stanislaus,14.541359172720778,"Acres/1,000 pop",6099.0,473
California,Sutter,49.27020819441358,"Acres/1,000 pop",6101.0,483
California,Tehama,1.2337477460377717,"Acres/1,000 pop",6103.0,492
California,Trinity,4.219721646431744,"Acres/1,000 pop",6105.0,500
California,Tulare,5.877425102721966,"Acres/1,000 pop",6107.0,501
California,Tuolumne,nan,"Acres/1,000 pop",6109.0,513
California,Ventura,35.91623813764639,"Acres/1,000 pop",6111.0,521
California,Yolo,17.504254167621518,"Acres/1,000 pop",6113.0,525
California,Yuba,0.9870315027554629,"Acres/1,000 pop",6115.0,541
Colorado,Adams,0.23441162681669012,"Acres/1,000 pop",8001.0,545
Colorado,Alamosa,nan,"Acres/1,000 pop",8003.0,549
Colorado,Arapahoe,nan,"Acres/1,000 pop",8005.0,558
Colorado,Archuleta,0.4127455836222552,"Acres/1,000 pop",8007.0,560
Colorado,Baca,0.0,"Acres/1,000 pop",8009.0,563
Colorado,Bent,nan,"Acres/1,000 pop",8011.0,564
Colorado,Boulder,2.6182465602785814,"Acres/1,000 pop",8013.0,570
Colorado,Broomfield,nan,"Acres/1,000 pop",8014.0,577
Colorado,Chaffee,nan,"Acres/1,000 pop",8015.0,582
Colorado,Cheyenne,0.0,"Acres/1,000 pop",8017.0,587
Colorado,Clear Creek,0.0,"Acres/1,000 pop",8019.0,591
Colorado,Conejos,nan,"Acres/1,000 pop",8021.0,596
Colorado,Costilla,1299.9166898083865,"Acres/1,000 pop",8023.0,599
Colorado,Crowley,nan,"Acres/1,000 pop",8025.0,605
Colorado,Custer,0.0,"Acres/1,000 pop",8027.0,610
Colorado,Delta,nan,"Acres/1,000 pop",8029.0,617
Colorado,Denver,nan,"Acres/1,000 pop",8031.0,628
Colorado,Dolores,4.515805318615153,"Acres/1,000 pop",8033.0,636
Colorado,Douglas,0.04687400601996163,"Acres/1,000 pop",8035.0,644
Colorado,Eagle,nan,"Acres/1,000 pop",8037.0,648
Colorado,Elbert,0.170852554245686,"Acres/1,000 pop",8039.0,655
Colorado,El Paso,0.026328913173439394,"Acres/1,000 pop",8041.0,661
Colorado,Fremont,nan,"Acres/1,000 pop",8043.0,664
Colorado,Garfield,0.15853443720274793,"Acres/1,000 pop",8045.0,667
Colorado,Gilpin,0.0,"Acres/1,000 pop",8047.0,672
Colorado,Grand,0.0,"Acres/1,000 pop",8049.0,677
Colorado,Gunnison,0.0,"Acres/1,000 pop",8051.0,682
Colorado,Hinsdale,0.0,"Acres/1,000 pop",8053.0,688
Colorado,Huerfano,0.4557192769254139,"Acres/1,000 pop",8055.0,693
Colorado,Jackson,0.0,"Acres/1,000 pop",8057.0,701
Colorado,Jefferson,nan,"Acres/1,000 pop",8059.0,706
Colorado,Kiowa,0.0,"Acres/1,000 pop",8061.0,711
