State,County,Direct farm sales per capita 2007 (PC_DIRSALES07),Units,FIPS,FID
Georgia,Douglas,0.15132207709461612,Dollars,13097.0,731
Georgia,Early,2.8873917228103947,Dollars,13099.0,735
Georgia,Echols,nan,Dollars,13101.0,737
Georgia,Effingham,1.9532823197744664,Dollars,13103.0,742
Georgia,Elbert,1.8003990073475744,Dollars,13105.0,746
Georgia,Emanuel,1.4021439232891582,Dollars,13107.0,750
Georgia,Evans,7.340122947059363,Dollars,13109.0,754
Georgia,Fannin,3.234850118611171,Dollars,13111.0,755
Georgia,Fayette,0.8096086256655459,Dollars,13113.0,760
Georgia,Floyd,0.36723045284760986,Dollars,13115.0,764
Georgia,Forsyth,1.4574012435642052,Dollars,13117.0,768
Georgia,Franklin,4.460464068483893,Dollars,13119.0,772
Georgia,Fulton,0.20130468441752203,Dollars,13121.0,779
Georgia,Gilmer,11.287326760965852,Dollars,13123.0,781
Georgia,Glascock,0.0,Dollars,13125.0,783
Georgia,Glynn,nan,Dollars,13127.0,793
Georgia,Gordon,1.7974498679997752,Dollars,13129.0,796
Georgia,Grady,1.9899285250162444,Dollars,13131.0,797
Georgia,Greene,nan,Dollars,13133.0,800
Georgia,Gwinnett,0.0065433977770769074,Dollars,13135.0,804
Georgia,Habersham,4.251761614713962,Dollars,13137.0,806
Georgia,Hall,0.9220277652134581,Dollars,13139.0,808
Georgia,Hancock,0.5056122964910507,Dollars,13141.0,810
Georgia,Haralson,0.4902304082918972,Dollars,13143.0,813
Georgia,Harris,2.7744748315497425,Dollars,13145.0,814
Georgia,Hart,6.869125090383225,Dollars,13147.0,816
Georgia,Heard,2.840420037872267,Dollars,13149.0,817
Georgia,Henry,0.19074262461851474,Dollars,13151.0,820
Georgia,Houston,0.18886026606634285,Dollars,13153.0,823
Georgia,Irwin,1.2640893289792479,Dollars,13155.0,825
Georgia,Jackson,13.50811008153544,Dollars,13157.0,828
