State,County,Direct farm sales (%) 2007 (PCT_LOCLSALE07),Units,FIPS,FID
Georgia,Clarke,nan,Percent,13059.0,666
Georgia,Clay,0.0,Percent,13061.0,670
Georgia,Clayton,nan,Percent,13063.0,673
Georgia,Clinch,nan,Percent,13065.0,676
Georgia,Cobb,2.1041738530527767,Percent,13067.0,680
Georgia,Coffee,0.01487019000047314,Percent,13069.0,684
Georgia,Colquitt,0.07563175910115162,Percent,13071.0,689
Georgia,Columbia,0.34843205574912894,Percent,13073.0,692
Georgia,Cook,0.0051088178195565544,Percent,13075.0,697
Georgia,Coweta,0.31892274982282065,Percent,13077.0,700
Georgia,Crawford,nan,Percent,13079.0,704
Georgia,Crisp,nan,Percent,13081.0,707
Georgia,Dade,0.21722897291426244,Percent,13083.0,708
Georgia,Dawson,0.007327832573681356,Percent,13085.0,713
Georgia,Decatur,0.0034983994822368764,Percent,13087.0,714
Georgia,DeKalb,0.0,Percent,13089.0,718
Georgia,Dodge,0.023939480992052092,Percent,13091.0,720
Georgia,Dooly,0.07304107884378677,Percent,13093.0,724
Georgia,Dougherty,0.027991167231673563,Percent,13095.0,728
Georgia,Douglas,0.49947423764458465,Percent,13097.0,731
Georgia,Early,0.06510416666666666,Percent,13099.0,735
Georgia,Echols,nan,Percent,13101.0,737
Georgia,Effingham,1.9276629570747217,Percent,13103.0,742
Georgia,Elbert,0.07336902637319057,Percent,13105.0,746
Georgia,Emanuel,0.15208752391698965,Percent,13107.0,750
Georgia,Evans,0.26012876373805033,Percent,13109.0,754
Georgia,Fannin,0.4137474485574006,Percent,13111.0,755
Georgia,Fayette,2.987697715289982,Percent,13113.0,760
Georgia,Floyd,0.0708344295804578,Percent,13115.0,764
Georgia,Forsyth,0.5729010307215051,Percent,13117.0,768
Georgia,Franklin,0.030351805012646588,Percent,13119.0,772
Georgia,Fulton,4.339201586908009,Percent,13121.0,779
Georgia,Gilmer,0.16273644420869404,Percent,13123.0,781
Georgia,Glascock,0.0,Percent,13125.0,783
Georgia,Glynn,nan,Percent,13127.0,793
Georgia,Gordon,0.052733055386187236,Percent,13129.0,796
Georgia,Grady,0.06167168011277107,Percent,13131.0,797
Georgia,Greene,nan,Percent,13133.0,800
Georgia,Gwinnett,0.03151988904999055,Percent,13135.0,804
Georgia,Habersham,0.1757035545421343,Percent,13137.0,806
Georgia,Hall,0.08759027582673651,Percent,13139.0,808
Georgia,Hancock,0.1455604075691412,Percent,13141.0,810
Georgia,Haralson,0.032296761096244346,Percent,13143.0,813
Georgia,Harris,3.1238378579397543,Percent,13145.0,814
Georgia,Hart,0.08357812110518625,Percent,13147.0,816
Georgia,Heard,0.11648018072076523,Percent,13149.0,817
Georgia,Henry,0.6759294029290274,Percent,13151.0,820
Georgia,Houston,0.16028723472462653,Percent,13153.0,823
Georgia,Irwin,0.026096033402922752,Percent,13155.0,825
Georgia,Jackson,0.46547571978002233,Percent,13157.0,828
Georgia,Jasper,0.20235112738485259,Percent,13159.0,830
Georgia,Jeff Davis,nan,Percent,13161.0,832
Georgia,Jefferson,0.3410175965079798,Percent,13163.0,834
Georgia,Jenkins,nan,Percent,13165.0,835
Georgia,Johnson,0.37751677852348997,Percent,13167.0,837
Georgia,Jones,0.040021344717182494,Percent,13169.0,839
Georgia,Lamar,0.047789181439592196,Percent,13171.0,841
Georgia,Lanier,0.011412919424788861,Percent,13173.0,845
Georgia,Laurens,0.25464556090846524,Percent,13175.0,847
Georgia,Lee,0.058239233830523825,Percent,13177.0,849
Georgia,Liberty,nan,Percent,13179.0,855
Georgia,Lincoln,nan,Percent,13181.0,857
Georgia,Long,0.0,Percent,13183.0,860
Georgia,Lowndes,0.593888838516638,Percent,13185.0,863
Georgia,Lumpkin,0.11266566974619498,Percent,13187.0,865
