State,County,Direct farm sales (% change) 2007 - 12 (PCH_DIRSALES_07_12),Units,FIPS,FID
Florida,Marion,-12.714776632302405,% change,12083.0,960
Florida,Martin,79.81651376146789,% change,12085.0,961
Florida,Miami-Dade,42.55096706743335,% change,12086.0,962
Florida,Monroe,nan,% change,12087.0,963
Florida,Nassau,-10.714285714285714,% change,12089.0,964
Florida,Okaloosa,-68.99563318777294,% change,12091.0,965
Florida,Okeechobee,-54.68509984639017,% change,12093.0,966
Florida,Orange,-8.21917808219178,% change,12095.0,967
Florida,Osceola,-53.333333333333336,% change,12097.0,968
Florida,Palm Beach,-3.459119496855346,% change,12099.0,969
Florida,Pasco,201.3550135501355,% change,12101.0,970
Florida,Pinellas,nan,% change,12103.0,971
Florida,Polk,-58.16808309726157,% change,12105.0,972
Florida,Putnam,-42.30769230769231,% change,12107.0,973
Florida,St. Johns,50.0,% change,12109.0,974
Florida,St. Lucie,-7.079646017699115,% change,12111.0,975
Florida,Santa Rosa,11.1731843575419,% change,12113.0,976
Florida,Sarasota,-40.44943820224719,% change,12115.0,977
Florida,Seminole,0.4694835680751174,% change,12117.0,978
Florida,Sumter,62.45847176079734,% change,12119.0,979
Florida,Suwannee,249.18032786885246,% change,12121.0,980
Florida,Taylor,-45.45454545454545,% change,12123.0,981
Florida,Union,46.03174603174603,% change,12125.0,982
Florida,Volusia,-48.9977728285078,% change,12127.0,983
Florida,Wakulla,9.433962264150944,% change,12129.0,984
Florida,Walton,39.130434782608695,% change,12131.0,985
Florida,Washington,148.57142857142858,% change,12133.0,986
Georgia,Appling,nan,% change,13001.0,987
Georgia,Atkinson,53.84615384615385,% change,13003.0,988
Georgia,Bacon,-75.0,% change,13005.0,989
Georgia,Baker,nan,% change,13007.0,990
Georgia,Baldwin,22.0,% change,13009.0,991
Georgia,Banks,3.125,% change,13011.0,992
Georgia,Barrow,184.6153846153846,% change,13013.0,993
Georgia,Bartow,-51.85185185185185,% change,13015.0,994
Georgia,Ben Hill,15.384615384615385,% change,13017.0,995
Georgia,Berrien,nan,% change,13019.0,996
Georgia,Bibb,nan,% change,13021.0,997
Georgia,Bleckley,-17.391304347826086,% change,13023.0,998
Georgia,Brantley,140.36697247706422,% change,13025.0,999
Georgia,Brooks,196.49122807017542,% change,13027.0,565
Georgia,Bryan,-90.0,% change,13029.0,573
Georgia,Bulloch,3.4090909090909087,% change,13031.0,579
Georgia,Burke,-64.75409836065575,% change,13033.0,583
Georgia,Butts,919.9999999999999,% change,13035.0,588
Georgia,Calhoun,nan,% change,13037.0,592
Georgia,Camden,640.0,% change,13039.0,603
Georgia,Candler,-53.84615384615385,% change,13043.0,616
Georgia,Carroll,3.571428571428571,% change,13045.0,620
Georgia,Catoosa,-52.702702702702695,% change,13047.0,626
Georgia,Charlton,nan,% change,13049.0,635
Georgia,Chatham,nan,% change,13051.0,646
Georgia,Chattahoochee,nan,% change,13053.0,656
Georgia,Chattooga,255.17241379310346,% change,13055.0,659
Georgia,Cherokee,-18.095238095238095,% change,13057.0,662
Georgia,Clarke,nan,% change,13059.0,666
Georgia,Clay,nan,% change,13061.0,670
Georgia,Clayton,nan,% change,13063.0,673
Georgia,Clinch,nan,% change,13065.0,676
Georgia,Cobb,67.21311475409836,% change,13067.0,680
Georgia,Coffee,140.9090909090909,% change,13069.0,684
Georgia,Colquitt,-68.55670103092784,% change,13071.0,689
Georgia,Columbia,223.0769230769231,% change,13073.0,692
Georgia,Cook,200.0,% change,13075.0,697
Georgia,Coweta,202.77777777777777,% change,13077.0,700
Georgia,Crawford,nan,% change,13079.0,704
Georgia,Crisp,nan,% change,13081.0,707
Georgia,Dade,12.5,% change,13083.0,708
Georgia,Dawson,0.0,% change,13085.0,713
Georgia,Decatur,200.0,% change,13087.0,714
Georgia,DeKalb,nan,% change,13089.0,718
Georgia,Dodge,580.0,% change,13091.0,720
Georgia,Dooly,-61.111111111111114,% change,13093.0,724
Georgia,Dougherty,nan,% change,13095.0,728
Georgia,Douglas,584.2105263157895,% change,13097.0,731
Georgia,Early,nan,% change,13099.0,735
Georgia,Echols,nan,% change,13101.0,737
Georgia,Effingham,-41.23711340206185,% change,13103.0,742
Georgia,Elbert,5.405405405405405,% change,13105.0,746
Georgia,Emanuel,316.1290322580645,% change,13107.0,750
Georgia,Evans,-40.0,% change,13109.0,754
Georgia,Fannin,196.0,% change,13111.0,755
Georgia,Fayette,74.11764705882354,% change,13113.0,760
Georgia,Floyd,128.57142857142858,% change,13115.0,764
Georgia,Forsyth,-36.681222707423586,% change,13117.0,768
Georgia,Franklin,-44.44444444444444,% change,13119.0,772
Georgia,Fulton,125.14285714285714,% change,13121.0,779
Georgia,Gilmer,16.77215189873418,% change,13123.0,781
Georgia,Glascock,nan,% change,13125.0,783
Georgia,Glynn,nan,% change,13127.0,793
Georgia,Gordon,68.75,% change,13129.0,796
Georgia,Grady,-67.3469387755102,% change,13131.0,797
Georgia,Greene,nan,% change,13133.0,800
Georgia,Gwinnett,1660.0000000000002,% change,13135.0,804
