State,County,Greenhouse veg and fresh herb sq feet 2007 (GHVEG_SQFT07),Units,FIPS,FID
Georgia,Lumpkin,0.0,Sq ft,13187.0,865
Georgia,McDuffie,0.0,Sq ft,13189.0,868
Georgia,McIntosh,nan,Sq ft,13191.0,871
Georgia,Macon,0.0,Sq ft,13193.0,874
Georgia,Madison,nan,Sq ft,13195.0,875
Georgia,Marion,0.0,Sq ft,13197.0,877
Georgia,Meriwether,0.0,Sq ft,13199.0,879
Georgia,Miller,0.0,Sq ft,13201.0,881
Georgia,Mitchell,0.0,Sq ft,13205.0,883
Georgia,Monroe,0.0,Sq ft,13207.0,885
Georgia,Montgomery,0.0,Sq ft,13209.0,887
Georgia,Morgan,0.0,Sq ft,13211.0,890
Georgia,Murray,0.0,Sq ft,13213.0,892
Georgia,Muscogee,0.0,Sq ft,13215.0,896
Georgia,Newton,nan,Sq ft,13217.0,899
Georgia,Oconee,nan,Sq ft,13219.0,901
Georgia,Oglethorpe,nan,Sq ft,13221.0,905
Georgia,Paulding,0.0,Sq ft,13223.0,908
Georgia,Peach,0.0,Sq ft,13225.0,910
Georgia,Pickens,nan,Sq ft,13227.0,912
Georgia,Pierce,0.0,Sq ft,13229.0,915
Georgia,Pike,0.0,Sq ft,13231.0,7
Georgia,Polk,0.0,Sq ft,13233.0,8
Georgia,Pulaski,0.0,Sq ft,13235.0,11
Georgia,Putnam,0.0,Sq ft,13237.0,13
Georgia,Quitman,0.0,Sq ft,13239.0,16
Georgia,Rabun,13000.0,Sq ft,13241.0,18
Georgia,Randolph,0.0,Sq ft,13243.0,23
Georgia,Richmond,0.0,Sq ft,13245.0,24
Georgia,Rockdale,0.0,Sq ft,13247.0,28
Georgia,Schley,0.0,Sq ft,13249.0,31
Georgia,Screven,0.0,Sq ft,13251.0,34
Georgia,Seminole,0.0,Sq ft,13253.0,38
Georgia,Spalding,0.0,Sq ft,13255.0,41
