State,County,SNAP participants (% pop) 2017 (PCT_SNAP17),Units,FIPS,FID
Florida,Nassau,15.185265403347248,Percent,12089,964
Florida,Okaloosa,15.185265403347248,Percent,12091,965
Florida,Okeechobee,15.185265403347248,Percent,12093,966
Florida,Orange,15.185265403347248,Percent,12095,967
Florida,Osceola,15.185265403347248,Percent,12097,968
Florida,Palm Beach,15.185265403347248,Percent,12099,969
Florida,Pasco,15.185265403347248,Percent,12101,970
Florida,Pinellas,15.185265403347248,Percent,12103,971
Florida,Polk,15.185265403347248,Percent,12105,972
Florida,Putnam,15.185265403347248,Percent,12107,973
Florida,St. Johns,15.185265403347248,Percent,12109,974
Florida,St. Lucie,15.185265403347248,Percent,12111,975
Florida,Santa Rosa,15.185265403347248,Percent,12113,976
Florida,Sarasota,15.185265403347248,Percent,12115,977
Florida,Seminole,15.185265403347248,Percent,12117,978
Florida,Sumter,15.185265403347248,Percent,12119,979
Florida,Suwannee,15.185265403347248,Percent,12121,980
Florida,Taylor,15.185265403347248,Percent,12123,981
Florida,Union,15.185265403347248,Percent,12125,982
Florida,Volusia,15.185265403347248,Percent,12127,983
Florida,Wakulla,15.185265403347248,Percent,12129,984
Florida,Walton,15.185265403347248,Percent,12131,985
Florida,Washington,15.185265403347248,Percent,12133,986
Georgia,Appling,15.584961961781232,Percent,13001,987
Georgia,Atkinson,15.584961961781232,Percent,13003,988
Georgia,Bacon,15.584961961781232,Percent,13005,989
Georgia,Baker,15.584961961781232,Percent,13007,990
Georgia,Baldwin,15.584961961781232,Percent,13009,991
Georgia,Banks,15.584961961781232,Percent,13011,992
Georgia,Barrow,15.584961961781232,Percent,13013,993
Georgia,Bartow,15.584961961781232,Percent,13015,994
Georgia,Ben Hill,15.584961961781232,Percent,13017,995
Georgia,Berrien,15.584961961781232,Percent,13019,996
Georgia,Bibb,15.584961961781232,Percent,13021,997
Georgia,Bleckley,15.584961961781232,Percent,13023,998
Georgia,Brantley,15.584961961781232,Percent,13025,999
Georgia,Brooks,15.584961961781232,Percent,13027,565
Georgia,Bryan,15.584961961781232,Percent,13029,573
Georgia,Bulloch,15.584961961781232,Percent,13031,579
Georgia,Burke,15.584961961781232,Percent,13033,583
Georgia,Butts,15.584961961781232,Percent,13035,588
Georgia,Calhoun,15.584961961781232,Percent,13037,592
Georgia,Camden,15.584961961781232,Percent,13039,603
Georgia,Candler,15.584961961781232,Percent,13043,616
Georgia,Carroll,15.584961961781232,Percent,13045,620
Georgia,Catoosa,15.584961961781232,Percent,13047,626
Georgia,Charlton,15.584961961781232,Percent,13049,635
Georgia,Chatham,15.584961961781232,Percent,13051,646
Georgia,Chattahoochee,15.584961961781232,Percent,13053,656
