State,County,SNAP benefits per capita (% change) 2012-17 (PCH_PC_SNAPBEN_12_17),Units,FIPS,FID
Florida,Okeechobee,-1.0020829439163208,% change,12093,966
Florida,Orange,-6.215260982513428,% change,12095,967
Florida,Osceola,-17.733728408813477,% change,12097,968
Florida,Palm Beach,-5.992326736450195,% change,12099,969
Florida,Pasco,-11.459609985351562,% change,12101,970
Florida,Pinellas,-15.57691764831543,% change,12103,971
Florida,Polk,3.256537675857544,% change,12105,972
Florida,Putnam,-12.491629600524902,% change,12107,973
Florida,St. Johns,-22.601425170898438,% change,12109,974
Florida,St. Lucie,-10.633918762207031,% change,12111,975
Florida,Santa Rosa,-15.805253028869629,% change,12113,976
Florida,Sarasota,-33.69438171386719,% change,12115,977
Florida,Seminole,-8.8250093460083,% change,12117,978
Florida,Sumter,-23.069175720214844,% change,12119,979
Florida,Suwannee,1.9089041948318481,% change,12121,980
Florida,Taylor,-3.615647315979004,% change,12123,981
Florida,Union,-6.621206760406494,% change,12125,982
Florida,Volusia,-10.326681137084961,% change,12127,983
Florida,Wakulla,-15.106656074523926,% change,12129,984
Florida,Walton,-5.199989318847656,% change,12131,985
Florida,Washington,-14.093833923339844,% change,12133,986
Georgia,Appling,-12.613662719726562,% change,13001,987
Georgia,Atkinson,-20.02189064025879,% change,13003,988
Georgia,Bacon,-4.503977298736572,% change,13005,989
Georgia,Baker,-26.360950469970703,% change,13007,990
Georgia,Baldwin,-16.872255325317383,% change,13009,991
Georgia,Banks,-40.19267272949219,% change,13011,992
Georgia,Barrow,-29.07242774963379,% change,13013,993
Georgia,Bartow,-38.08501052856445,% change,13015,994
Georgia,Ben Hill,-34.5317497253418,% change,13017,995
Georgia,Berrien,-26.727827072143555,% change,13019,996
Georgia,Bibb,-19.38426971435547,% change,13021,997
Georgia,Bleckley,-9.218070030212402,% change,13023,998
Georgia,Brantley,-0.9782426953315735,% change,13025,999
Georgia,Brooks,-30.541790008544922,% change,13027,565
Georgia,Bryan,-22.16767692565918,% change,13029,573
Georgia,Bulloch,-12.742071151733398,% change,13031,579
Georgia,Burke,-22.60960578918457,% change,13033,583
Georgia,Butts,-27.238079071044922,% change,13035,588
Georgia,Calhoun,-7.915447235107422,% change,13037,592
Georgia,Camden,-22.117788314819336,% change,13039,603
Georgia,Candler,-20.06830406188965,% change,13043,616
Georgia,Carroll,-35.43844985961914,% change,13045,620
Georgia,Catoosa,-30.420639038085938,% change,13047,626
Georgia,Charlton,-51.570289611816406,% change,13049,635
Georgia,Chatham,-21.691125869750977,% change,13051,646
Georgia,Chattahoochee,-8.855179786682129,% change,13053,656
Georgia,Chattooga,-26.405031204223633,% change,13055,659
Georgia,Cherokee,-36.72090530395508,% change,13057,662
Georgia,Clarke,-25.014577865600586,% change,13059,666
Georgia,Clay,-16.574703216552734,% change,13061,670
Georgia,Clayton,-26.62055206298828,% change,13063,673
Georgia,Clinch,-28.802207946777344,% change,13065,676
Georgia,Cobb,-37.49370574951172,% change,13067,680
Georgia,Coffee,-27.14253807067871,% change,13069,684
Georgia,Colquitt,-6.033951759338379,% change,13071,689
Georgia,Columbia,-16.92983055114746,% change,13073,692
Georgia,Cook,-19.67857551574707,% change,13075,697
Georgia,Coweta,-41.73501968383789,% change,13077,700
Georgia,Crawford,-25.93195152282715,% change,13079,704
Georgia,Crisp,-20.410982131958008,% change,13081,707
Georgia,Dade,-33.207210540771484,% change,13083,708
Georgia,Dawson,-44.42631912231445,% change,13085,713
Georgia,Decatur,-17.525592803955078,% change,13087,714
Georgia,DeKalb,-15.826303482055664,% change,13089,718
Georgia,Dodge,-20.096006393432617,% change,13091,720
Georgia,Dooly,-29.27203941345215,% change,13093,724
Georgia,Dougherty,-12.780594825744629,% change,13095,728
Georgia,Douglas,-30.09297752380371,% change,13097,731
Georgia,Early,-25.754802703857422,% change,13099,735
Georgia,Echols,-9.691895484924316,% change,13101,737
Georgia,Effingham,-24.246797561645508,% change,13103,742
Georgia,Elbert,-3.412213087081909,% change,13105,746
Georgia,Emanuel,6.7988457679748535,% change,13107,750
Georgia,Evans,-11.496073722839355,% change,13109,754
Georgia,Fannin,-34.34117889404297,% change,13111,755
Georgia,Fayette,-35.149742126464844,% change,13113,760
Georgia,Floyd,-27.17096519470215,% change,13115,764
Georgia,Forsyth,-41.555789947509766,% change,13117,768
Georgia,Franklin,-28.742918014526367,% change,13119,772
Georgia,Fulton,-31.62257957458496,% change,13121,779
Georgia,Gilmer,-23.310665130615234,% change,13123,781
Georgia,Glascock,7.02388858795166,% change,13125,783
Georgia,Glynn,-19.517101287841797,% change,13127,793
Georgia,Gordon,-31.373851776123047,% change,13129,796
Georgia,Grady,-16.75139808654785,% change,13131,797
Georgia,Greene,-47.62982177734375,% change,13133,800
Georgia,Gwinnett,-32.926239013671875,% change,13135,804
Georgia,Habersham,-19.788217544555664,% change,13137,806
Georgia,Hall,-34.34879684448242,% change,13139,808
Georgia,Hancock,-23.51138687133789,% change,13141,810
Georgia,Haralson,-23.657718658447266,% change,13143,813
Georgia,Harris,-31.081174850463867,% change,13145,814
Georgia,Hart,-22.56597900390625,% change,13147,816
Georgia,Heard,-34.203636169433594,% change,13149,817
Georgia,Henry,-41.162200927734375,% change,13151,820
Georgia,Houston,-16.839574813842773,% change,13153,823
Georgia,Irwin,-25.711580276489258,% change,13155,825
Georgia,Jackson,-41.911590576171875,% change,13157,828
Georgia,Jasper,-29.32146453857422,% change,13159,830
Georgia,Jeff Davis,-13.926240921020508,% change,13161,832
Georgia,Jefferson,-17.147754669189453,% change,13163,834
Georgia,Jenkins,-27.713258743286133,% change,13165,835
Georgia,Johnson,-31.90818977355957,% change,13167,837
Georgia,Jones,-30.470151901245117,% change,13169,839
Georgia,Lamar,-18.445959091186523,% change,13171,841
Georgia,Lanier,-21.63991355895996,% change,13173,845
Georgia,Laurens,-9.680647850036621,% change,13175,847
Georgia,Lee,-0.5337948203086853,% change,13177,849
Georgia,Liberty,2.6680784225463867,% change,13179,855
Georgia,Lincoln,-6.523101806640625,% change,13181,857
Georgia,Long,-29.185619354248047,% change,13183,860
Georgia,Lowndes,-14.636577606201172,% change,13185,863
Georgia,Lumpkin,-41.830528259277344,% change,13187,865
Georgia,McDuffie,-10.08013916015625,% change,13189,868
Georgia,McIntosh,-21.99822425842285,% change,13191,871
Georgia,Macon,-21.019073486328125,% change,13193,874
Georgia,Madison,-27.269121170043945,% change,13195,875
Georgia,Marion,-19.754648208618164,% change,13197,877
Georgia,Meriwether,-34.87921905517578,% change,13199,879
Georgia,Miller,0.635511040687561,% change,13201,881
Georgia,Mitchell,-19.901405334472656,% change,13205,883
Georgia,Monroe,-24.33928680419922,% change,13207,885
Georgia,Montgomery,-18.95624542236328,% change,13209,887
Georgia,Morgan,-35.41917419433594,% change,13211,890
Georgia,Murray,-36.37274169921875,% change,13213,892
Georgia,Muscogee,-19.22751808166504,% change,13215,896
Georgia,Newton,-23.55389976501465,% change,13217,899
Georgia,Oconee,-37.45368576049805,% change,13219,901
Georgia,Oglethorpe,-32.315338134765625,% change,13221,905
Georgia,Paulding,-27.593544006347656,% change,13223,908
Georgia,Peach,-32.561485290527344,% change,13225,910
Georgia,Pickens,-39.57992172241211,% change,13227,912
Georgia,Pierce,-21.04561996459961,% change,13229,915
Georgia,Pike,-34.7996826171875,% change,13231,7
Georgia,Polk,-19.907869338989258,% change,13233,8
Georgia,Pulaski,-9.525569915771484,% change,13235,11
Georgia,Putnam,-18.469411849975586,% change,13237,13
Georgia,Quitman,-23.124221801757812,% change,13239,16
Georgia,Rabun,-25.02344512939453,% change,13241,18
Georgia,Randolph,-12.810261726379395,% change,13243,23
Georgia,Richmond,-27.234432220458984,% change,13245,24
Georgia,Rockdale,-21.02107810974121,% change,13247,28
Georgia,Schley,-11.461162567138672,% change,13249,31
