State,County,Asian low access to store (%) 2015 (PCT_LACCESS_NHASIAN15),Units,FIPS,FID
Georgia,Liberty,0.9070738138629221,Percent,13179,855
Georgia,Lincoln,0.043639387614398825,Percent,13181,857
Georgia,Long,0.03558105276717263,Percent,13183,860
Georgia,Lowndes,0.4237697929746331,Percent,13185,863
Georgia,Lumpkin,0.0038685318888869715,Percent,13187,865
Georgia,McDuffie,0.05075390735587885,Percent,13189,868
Georgia,McIntosh,0.06979145060514266,Percent,13191,871
Georgia,Macon,0.30173555429262894,Percent,13193,874
Georgia,Madison,0.008624065421477952,Percent,13195,875
Georgia,Marion,0.0,Percent,13197,877
Georgia,Meriwether,0.018683712405036013,Percent,13199,879
Georgia,Miller,0.048979592330905805,Percent,13201,881
Georgia,Mitchell,0.038327778827410716,Percent,13205,883
Georgia,Monroe,0.048370398820213815,Percent,13207,885
Georgia,Montgomery,0.03288392070241894,Percent,13209,887
Georgia,Morgan,0.06018041438957633,Percent,13211,890
Georgia,Murray,0.041388267673347634,Percent,13213,892
Georgia,Muscogee,0.589926856606883,Percent,13215,896
Georgia,Newton,0.35669366028994776,Percent,13217,899
Georgia,Oconee,1.0890539960669439,Percent,13219,901
Georgia,Oglethorpe,0.09361680948652996,Percent,13221,905
