State,County,Population low access to store (% change) 2010 -15 (PCH_LACCESS_POP_10_15),Units,FIPS,FID
Georgia,Greene,-0.5331261339474493,% change,13133,800
Georgia,Gwinnett,-8.58327693173586,% change,13135,804
Georgia,Habersham,-14.530367303375987,% change,13137,806
Georgia,Hall,-5.652283336604571,% change,13139,808
Georgia,Hancock,-6.1212904262303125,% change,13141,810
Georgia,Haralson,35.77053301900236,% change,13143,813
Georgia,Harris,-5.293503470234344,% change,13145,814
Georgia,Hart,269.2070554290176,% change,13147,816
Georgia,Heard,79.94856317330358,% change,13149,817
Georgia,Henry,-3.9386598859002184,% change,13151,820
Georgia,Houston,2.2117943027574527,% change,13153,823
Georgia,Irwin,4.739266731401907,% change,13155,825
Georgia,Jackson,346.04455111404985,% change,13157,828
Georgia,Jasper,245.4047917672741,% change,13159,830
Georgia,Jeff Davis,-3.455845421952202,% change,13161,832
Georgia,Jefferson,83.45704810526834,% change,13163,834
Georgia,Jenkins,-67.01510618404636,% change,13165,835
Georgia,Johnson,-59.54003080101211,% change,13167,837
Georgia,Jones,9.732841635140348,% change,13169,839
Georgia,Lamar,14.551199053930919,% change,13171,841
Georgia,Lanier,-19.927789844661177,% change,13173,845
Georgia,Laurens,-0.021872590864844083,% change,13175,847
Georgia,Lee,-20.514937329840237,% change,13177,849
Georgia,Liberty,8.95572671375914,% change,13179,855
Georgia,Lincoln,-19.757116350711527,% change,13181,857
Georgia,Long,0.32250358480523267,% change,13183,860
Georgia,Lowndes,17.215775238993153,% change,13185,863
Georgia,Lumpkin,-4.631436114555553,% change,13187,865
Georgia,McDuffie,-6.718131115576963,% change,13189,868
Georgia,McIntosh,-3.7368772290767613,% change,13191,871
Georgia,Macon,-1.5237370387568883,% change,13193,874
Georgia,Madison,1.7966045698420217,% change,13195,875
Georgia,Marion,-99.9396082716682,% change,13197,877
Georgia,Meriwether,205.19489595796392,% change,13199,879
Georgia,Miller,-14.719190859431352,% change,13201,881
Georgia,Mitchell,-37.60892172799933,% change,13205,883
Georgia,Monroe,-18.55516729027315,% change,13207,885
Georgia,Montgomery,13.69725484002248,% change,13209,887
Georgia,Morgan,-15.21993333806354,% change,13211,890
Georgia,Murray,-5.304621797546482,% change,13213,892
Georgia,Muscogee,-13.30905673893211,% change,13215,896
Georgia,Newton,-0.9189961595983223,% change,13217,899
Georgia,Oconee,2.6040903955509584,% change,13219,901
Georgia,Oglethorpe,-4.211005933012581,% change,13221,905
Georgia,Paulding,3.2307218737934087,% change,13223,908
Georgia,Peach,-8.694733161028894,% change,13225,910
Georgia,Pickens,-8.757854957479998,% change,13227,912
Georgia,Pierce,-3.1296678328809437,% change,13229,915
