State,County,Children low access to store (% change) 2010 - 15 (LACCESS_CHILD_10_15),Units,FIPS,FID
Georgia,Hancock,-2.716366166253728,% change,13141,810
Georgia,Haralson,37.139795126557885,% change,13143,813
Georgia,Harris,2.445391748921442,% change,13145,814
Georgia,Hart,281.3217430836085,% change,13147,816
Georgia,Heard,78.80279618844868,% change,13149,817
Georgia,Henry,-3.9183909149949243,% change,13151,820
Georgia,Houston,1.0111089672692601,% change,13153,823
Georgia,Irwin,7.4690362949211515,% change,13155,825
Georgia,Jackson,330.5524268475307,% change,13157,828
Georgia,Jasper,221.04999496774775,% change,13159,830
Georgia,Jeff Davis,-3.7052718547416896,% change,13161,832
Georgia,Jefferson,75.95436743575048,% change,13163,834
Georgia,Jenkins,-70.90847550757618,% change,13165,835
Georgia,Johnson,-56.44098287397464,% change,13167,837
Georgia,Jones,10.527948007590497,% change,13169,839
Georgia,Lamar,24.890378414929117,% change,13171,841
Georgia,Lanier,-19.38387132413015,% change,13173,845
Georgia,Laurens,1.865861398102978,% change,13175,847
Georgia,Lee,-21.382562486314526,% change,13177,849
Georgia,Liberty,6.87556793299306,% change,13179,855
Georgia,Lincoln,-26.462558152361872,% change,13181,857
Georgia,Long,0.26595210387148477,% change,13183,860
Georgia,Lowndes,37.33262966483801,% change,13185,863
Georgia,Lumpkin,-1.2597514982148397,% change,13187,865
Georgia,McDuffie,-10.630189208650961,% change,13189,868
Georgia,McIntosh,-3.1577752778734425,% change,13191,871
Georgia,Macon,-1.8989263035562653,% change,13193,874
Georgia,Madison,3.241089377899161,% change,13195,875
Georgia,Marion,-99.94242310762233,% change,13197,877
Georgia,Meriwether,187.16463605282343,% change,13199,879
Georgia,Miller,-13.567931464833983,% change,13201,881
Georgia,Mitchell,-58.846656208154954,% change,13205,883
Georgia,Monroe,-27.006615892148357,% change,13207,885
Georgia,Montgomery,16.71928088339353,% change,13209,887
Georgia,Morgan,-13.851618307111702,% change,13211,890
Georgia,Murray,-5.344932613240781,% change,13213,892
Georgia,Muscogee,-11.761574856359937,% change,13215,896
Georgia,Newton,-0.7850404168573775,% change,13217,899
Georgia,Oconee,3.485962470519471,% change,13219,901
Georgia,Oglethorpe,-4.769232842823841,% change,13221,905
Georgia,Paulding,2.2595527992601414,% change,13223,908
Georgia,Peach,-7.9367262191611765,% change,13225,910
Georgia,Pickens,-7.638434592562186,% change,13227,912
Georgia,Pierce,-2.634649755711043,% change,13229,915
Georgia,Pike,0,% change,13231,7
Georgia,Polk,4.444718710015454,% change,13233,8
Georgia,Pulaski,0.0,% change,13235,11
Georgia,Putnam,-12.191048997156532,% change,13237,13
Georgia,Quitman,0.4998856455328226,% change,13239,16
Georgia,Rabun,-9.6410105615634,% change,13241,18
Georgia,Randolph,290.6105524232079,% change,13243,23
Georgia,Richmond,18.819113680564527,% change,13245,24
Georgia,Rockdale,-11.266761836953233,% change,13247,28
Georgia,Schley,-17.007713251313696,% change,13249,31
Georgia,Screven,-2.751251993918508,% change,13251,34
Georgia,Seminole,-28.735657039614633,% change,13253,38
Georgia,Spalding,-4.323121610551177,% change,13255,41
Georgia,Stephens,29.00324467577862,% change,13257,45
Georgia,Stewart,-46.76178931687479,% change,13259,48
Georgia,Sumter,0.7520238811197633,% change,13261,52
Georgia,Talbot,535.5282772611858,% change,13263,57
Georgia,Taliaferro,-0.6765519749464086,% change,13265,60
Georgia,Tattnall,3.241553482141715,% change,13267,63
