State,County,Children low access to store (%) 2015 (PCT_LACCESS_CHILD15),Units,FIPS,FID
Georgia,Grady,2.6251267679914796,Percent,13131,797
Georgia,Greene,0.7968796405577466,Percent,13133,800
Georgia,Gwinnett,8.525475492432758,Percent,13135,804
Georgia,Habersham,4.180812166004112,Percent,13137,806
Georgia,Hall,7.309974545713252,Percent,13139,808
Georgia,Hancock,2.805454213746177,Percent,13141,810
Georgia,Haralson,1.4560272337026894,Percent,13143,813
Georgia,Harris,0.182543185305089,Percent,13145,814
Georgia,Hart,2.924992876236858,Percent,13147,816
Georgia,Heard,1.6872326430837672,Percent,13149,817
Georgia,Henry,9.386080827062896,Percent,13151,820
Georgia,Houston,10.027121558328663,Percent,13153,823
Georgia,Irwin,1.391126932210998,Percent,13155,825
Georgia,Jackson,1.1342939767678235,Percent,13157,828
Georgia,Jasper,5.618369502612978,Percent,13159,830
Georgia,Jeff Davis,3.3441301686850147,Percent,13161,832
Georgia,Jefferson,0.9641624518997461,Percent,13163,834
Georgia,Jenkins,0.9006303717383128,Percent,13165,835
Georgia,Johnson,2.218360187545411,Percent,13167,837
Georgia,Jones,1.8661953938903975,Percent,13169,839
Georgia,Lamar,1.5561870194978324,Percent,13171,841
Georgia,Lanier,1.1208267150301745,Percent,13173,845
Georgia,Laurens,2.6935219393523555,Percent,13175,847
Georgia,Lee,4.351988766827585,Percent,13177,849
Georgia,Liberty,13.455562536014451,Percent,13179,855
Georgia,Lincoln,0.5869117971804515,Percent,13181,857
Georgia,Long,3.0144501967550608,Percent,13183,860
Georgia,Lowndes,6.4904861702052035,Percent,13185,863
Georgia,Lumpkin,0.2510707094346369,Percent,13187,865
Georgia,McDuffie,2.5988202230697373,Percent,13189,868
Georgia,McIntosh,1.6200401237304194,Percent,13191,871
Georgia,Macon,1.880800758871506,Percent,13193,874
Georgia,Madison,0.6464984641771764,Percent,13195,875
Georgia,Marion,0.013011093639191833,Percent,13197,877
Georgia,Meriwether,1.0964479463558476,Percent,13199,879
Georgia,Miller,0.6040967615556294,Percent,13201,881
Georgia,Mitchell,1.6042890952898543,Percent,13205,883
Georgia,Monroe,1.6370910966793446,Percent,13207,885
Georgia,Montgomery,2.974177135275907,Percent,13209,887
Georgia,Morgan,4.2095715884657094,Percent,13211,890
Georgia,Murray,3.6723989868874027,Percent,13213,892
Georgia,Muscogee,7.685361053144588,Percent,13215,896
Georgia,Newton,7.465376956940835,Percent,13217,899
Georgia,Oconee,8.331934409820166,Percent,13219,901
Georgia,Oglethorpe,0.8041010648093899,Percent,13221,905
Georgia,Paulding,7.473833759682274,Percent,13223,908
Georgia,Peach,4.811187874221954,Percent,13225,910
Georgia,Pickens,1.488887572976066,Percent,13227,912
Georgia,Pierce,2.9447522330258664,Percent,13229,915
Georgia,Pike,0.008041539823620908,Percent,13231,7
Georgia,Polk,3.1474150551275226,Percent,13233,8
Georgia,Pulaski,2.4283304605030387,Percent,13235,11
Georgia,Putnam,0.619390723540574,Percent,13237,13
Georgia,Quitman,7.554268075758815,Percent,13239,16
