State,County,Low income & low access to store (% change) 2010 - 15 (PCH_LACCESS_LOWI_10_15),Units,FIPS,FID
Georgia,Effingham,15.99711806257987,% change,13103,742
Georgia,Elbert,76.44519123622533,% change,13105,746
Georgia,Emanuel,-7.877856323704571,% change,13107,750
Georgia,Evans,39.69488151437087,% change,13109,754
Georgia,Fannin,1187.1915713091328,% change,13111,755
Georgia,Fayette,-4.284744216995063,% change,13113,760
Georgia,Floyd,-8.521172655452375,% change,13115,764
Georgia,Forsyth,4.108636676646054,% change,13117,768
Georgia,Franklin,-66.34772209057859,% change,13119,772
Georgia,Fulton,25.19644261720977,% change,13121,779
Georgia,Gilmer,46.449421797167574,% change,13123,781
Georgia,Glascock,-5.167733540601285,% change,13125,783
Georgia,Glynn,18.53683547983618,% change,13127,793
Georgia,Gordon,53.040441717903484,% change,13129,796
Georgia,Grady,23.863749597812888,% change,13131,797
Georgia,Greene,-1.142614419470729,% change,13133,800
Georgia,Gwinnett,12.924687856665948,% change,13135,804
Georgia,Habersham,-10.190460870315874,% change,13137,806
Georgia,Hall,1.1331151327043032,% change,13139,808
Georgia,Hancock,-21.05659310076979,% change,13141,810
Georgia,Haralson,-6.177448700786915,% change,13143,813
Georgia,Harris,-8.0321359167341,% change,13145,814
Georgia,Hart,249.23099456563526,% change,13147,816
Georgia,Heard,78.03990443557662,% change,13149,817
Georgia,Henry,26.110825637356033,% change,13151,820
Georgia,Houston,24.056413626139157,% change,13153,823
Georgia,Irwin,26.876792983316676,% change,13155,825
Georgia,Jackson,263.6291845430144,% change,13157,828
Georgia,Jasper,248.07306536734308,% change,13159,830
Georgia,Jeff Davis,-2.5673141706078,% change,13161,832
Georgia,Jefferson,157.84866756762327,% change,13163,834
Georgia,Jenkins,-64.40296444412354,% change,13165,835
Georgia,Johnson,-59.15389585184674,% change,13167,837
Georgia,Jones,7.393395543469233,% change,13169,839
Georgia,Lamar,45.573909245561836,% change,13171,841
Georgia,Lanier,0.7734707975873859,% change,13173,845
Georgia,Laurens,13.455152102316713,% change,13175,847
Georgia,Lee,-1.267341478827917,% change,13177,849
Georgia,Liberty,21.3885927887979,% change,13179,855
Georgia,Lincoln,-20.515491822076868,% change,13181,857
Georgia,Long,-9.253304462719795,% change,13183,860
Georgia,Lowndes,24.006956364682164,% change,13185,863
Georgia,Lumpkin,-1.4275920999047993,% change,13187,865
Georgia,McDuffie,0.6900419684737061,% change,13189,868
Georgia,McIntosh,-5.053147916646984,% change,13191,871
Georgia,Macon,0.20943431868434673,% change,13193,874
Georgia,Madison,-4.165325322294835,% change,13195,875
Georgia,Marion,-99.93090297838015,% change,13197,877
