State,County,SNAP benefits per capita 2017 (PC_SNAPBEN17),Units,FIPS,FID
Georgia,Dooly,21.371721267700195,Dollars/capita,13093,724
Georgia,Dougherty,45.4757080078125,Dollars/capita,13095,728
Georgia,Douglas,18.44451332092285,Dollars/capita,13097,731
Georgia,Early,39.934600830078125,Dollars/capita,13099,735
Georgia,Echols,27.587228775024414,Dollars/capita,13101,737
Georgia,Effingham,13.719393730163574,Dollars/capita,13103,742
Georgia,Elbert,32.02243423461914,Dollars/capita,13105,746
Georgia,Emanuel,37.31321334838867,Dollars/capita,13107,750
Georgia,Evans,33.008506774902344,Dollars/capita,13109,754
Georgia,Fannin,13.933865547180176,Dollars/capita,13111,755
Georgia,Fayette,6.63044548034668,Dollars/capita,13113,760
Georgia,Floyd,21.15582275390625,Dollars/capita,13115,764
Georgia,Forsyth,3.8371782302856445,Dollars/capita,13117,768
