State,County,Hispanic ethnicity low access to store (%) 2015 (PCT_LACCESS_HISP15),Units,FIPS,FID
Florida,Calhoun,1.1085144721765197,Percent,12013,699
Florida,Charlotte,2.2404173363510234,Percent,12015,743
Florida,Citrus,1.3802647382123823,Percent,12017,843
Florida,Clay,1.5863059952732823,Percent,12019,852
Florida,Collier,5.8484536183259825,Percent,12021,894
Florida,Columbia,0.9120296536004057,Percent,12023,903
Florida,DeSoto,3.0883709574310423,Percent,12027,906
Florida,Dixie,0.14692287944382537,Percent,12029,918
Florida,Duval,1.83184466447203,Percent,12031,924
Florida,Escambia,1.9033367177948888,Percent,12033,931
Florida,Flagler,3.4068780753755754,Percent,12035,935
Florida,Franklin,0.10883314877443502,Percent,12037,937
Florida,Gadsden,1.214418295821628,Percent,12039,938
Florida,Gilchrist,0.022377539276265186,Percent,12041,939
Florida,Glades,9.058892798944273,Percent,12043,940
Florida,Gulf,0.6223204591363525,Percent,12045,941
Florida,Hamilton,1.1123045289686937,Percent,12047,942
Florida,Hardee,16.186520475918503,Percent,12049,943
Florida,Hendry,8.7448624323721,Percent,12051,944
Florida,Hernando,3.632544144938209,Percent,12053,945
Florida,Highlands,6.040533344066285,Percent,12055,946
Florida,Hillsborough,5.0695409471850015,Percent,12057,947
Florida,Holmes,0.34803834224924424,Percent,12059,948
Florida,Indian River,2.7654746723654986,Percent,12061,949
Florida,Jackson,0.15882396658064407,Percent,12063,950
Florida,Jefferson,0.4024793759503564,Percent,12065,951
Florida,Lafayette,0.14913082402166292,Percent,12067,952
Florida,Lake,2.6606454635726475,Percent,12069,953
Florida,Lee,4.620817014983273,Percent,12071,954
Florida,Leon,1.542500916871954,Percent,12073,955
Florida,Levy,0.754776278460741,Percent,12075,956
Florida,Liberty,1.0794657656362046,Percent,12077,957
Florida,Madison,0.6578261223217436,Percent,12079,958
Florida,Manatee,2.287477534376315,Percent,12081,959
Florida,Marion,2.635508486997347,Percent,12083,960
Florida,Martin,2.129843394490767,Percent,12085,961
Florida,Miami-Dade,3.0543291275723625,Percent,12086,962
Florida,Monroe,4.597062371849062,Percent,12087,963
Florida,Nassau,0.8119006452096953,Percent,12089,964
Florida,Okaloosa,2.286500644204477,Percent,12091,965
Florida,Okeechobee,13.588391462943644,Percent,12093,966
Florida,Orange,4.659475810891353,Percent,12095,967
Florida,Osceola,10.594005788018386,Percent,12097,968
Florida,Palm Beach,2.4442456585942787,Percent,12099,969
Florida,Pasco,2.260452472478626,Percent,12101,970
Florida,Pinellas,0.9681381684810614,Percent,12103,971
Florida,Polk,5.265066265984637,Percent,12105,972
Florida,Putnam,1.991902701415658,Percent,12107,973
Florida,St. Johns,1.1806083545420045,Percent,12109,974
Florida,St. Lucie,5.39453493916109,Percent,12111,975
Florida,Santa Rosa,1.8897441576602738,Percent,12113,976
Florida,Sarasota,1.3705177383503246,Percent,12115,977
Florida,Seminole,3.9733456756059127,Percent,12117,978
Florida,Sumter,0.3732096309554881,Percent,12119,979
Florida,Suwannee,1.8490243876243269,Percent,12121,980
Florida,Taylor,0.4328830092628179,Percent,12123,981
Florida,Union,1.2857926173797039,Percent,12125,982
Florida,Volusia,3.9555008715079873,Percent,12127,983
Florida,Wakulla,0.007681165308604302,Percent,12129,984
Florida,Walton,0.48051067628631977,Percent,12131,985
Florida,Washington,1.5369068238798924,Percent,12133,986
Georgia,Appling,1.6368836556302422,Percent,13001,987
Georgia,Atkinson,4.487700396159248,Percent,13003,988
Georgia,Bacon,1.0407755382021269,Percent,13005,989
Georgia,Baker,2.6318428375360794,Percent,13007,990
Georgia,Baldwin,0.22529013592626204,Percent,13009,991
Georgia,Banks,1.338281614486991,Percent,13011,992
Georgia,Barrow,1.0285496977580189,Percent,13013,993
Georgia,Bartow,2.899776196108799,Percent,13015,994
Georgia,Ben Hill,2.199251762568714,Percent,13017,995
Georgia,Berrien,0.8756125675903506,Percent,13019,996
