State,County,Hawaiian or Pacific Islander low access to store (%) 2015 (PCT_LACCESS_NHPI15),Units,FIPS,FID
Georgia,Lincoln,0.0,Percent,13181,857
Georgia,Long,0.019610358620651136,Percent,13183,860
Georgia,Lowndes,0.03364112617280483,Percent,13185,863
Georgia,Lumpkin,0.00032450756895870754,Percent,13187,865
Georgia,McDuffie,0.0,Percent,13189,868
Georgia,McIntosh,0.0,Percent,13191,871
Georgia,Macon,0.005371741156929057,Percent,13193,874
Georgia,Madison,0.0,Percent,13195,875
Georgia,Marion,0.0,Percent,13197,877
Georgia,Meriwether,0.0,Percent,13199,879
Georgia,Miller,0.0,Percent,13201,881
Georgia,Mitchell,0.0,Percent,13205,883
Georgia,Monroe,0.003784438233823005,Percent,13207,885
Georgia,Montgomery,0.0,Percent,13209,887
Georgia,Morgan,0.0,Percent,13211,890
Georgia,Murray,0.017565042961193676,Percent,13213,892
Georgia,Muscogee,0.07195811213219738,Percent,13215,896
Georgia,Newton,0.015636084267785372,Percent,13217,899
Georgia,Oconee,0.0043862536404758595,Percent,13219,901
Georgia,Oglethorpe,0.0,Percent,13221,905
Georgia,Paulding,0.012402237485847853,Percent,13223,908
Georgia,Peach,0.005649810515332046,Percent,13225,910
Georgia,Pickens,0.0,Percent,13227,912
Georgia,Pierce,0.00552789567598262,Percent,13229,915
Georgia,Pike,0.0,Percent,13231,7
Georgia,Polk,0.0002820469582741917,Percent,13233,8
Georgia,Pulaski,0.007390004322828443,Percent,13235,11
Georgia,Putnam,0.0,Percent,13237,13
Georgia,Quitman,0.0,Percent,13239,16
Georgia,Rabun,0.0,Percent,13241,18
Georgia,Randolph,0.0,Percent,13243,23
Georgia,Richmond,0.11262264457003028,Percent,13245,24
Georgia,Rockdale,0.028793101396733203,Percent,13247,28
Georgia,Schley,0.0,Percent,13249,31
Georgia,Screven,0.0,Percent,13251,34
Georgia,Seminole,0.0,Percent,13253,38
Georgia,Spalding,0.011493179128485914,Percent,13255,41
