State,County,SNAP households low access to store (%) 2015 (PCT_LACCESS_SNAP15),Units,FIPS,FID
Florida,Flagler,3.202960095943296,Percent,12035,935
Florida,Franklin,0.6018214460615257,Percent,12037,937
Florida,Gadsden,2.6873761649215075,Percent,12039,938
Florida,Gilchrist,0.0523221518625571,Percent,12041,939
Florida,Glades,6.120597290522965,Percent,12043,940
Florida,Gulf,2.8608581708439926,Percent,12045,941
Florida,Hamilton,7.314660684423284,Percent,12047,942
Florida,Hardee,8.426895890097818,Percent,12049,943
Florida,Hendry,7.300320506364308,Percent,12051,944
Florida,Hernando,5.376482291235613,Percent,12053,945
Florida,Highlands,4.220678885132851,Percent,12055,946
Florida,Hillsborough,2.8001243153166886,Percent,12057,947
Florida,Holmes,3.215662572490332,Percent,12059,948
Florida,Indian River,4.477829820148049,Percent,12061,949
Florida,Jackson,1.0704281901522017,Percent,12063,950
Florida,Jefferson,3.3122572405566952,Percent,12065,951
Florida,Lafayette,1.3621418419715736,Percent,12067,952
Florida,Lake,3.7411139282390655,Percent,12069,953
Florida,Lee,3.083622387367542,Percent,12071,954
Florida,Leon,3.1608741536462484,Percent,12073,955
Florida,Levy,1.3534392538178859,Percent,12075,956
Florida,Liberty,4.284360839349307,Percent,12077,957
Florida,Madison,4.762484341426471,Percent,12079,958
Florida,Manatee,1.7206361473080256,Percent,12081,959
Florida,Marion,4.000936796064483,Percent,12083,960
Florida,Martin,2.2982368188343165,Percent,12085,961
Florida,Miami-Dade,0.8350222181734128,Percent,12086,962
Florida,Monroe,1.825580576304349,Percent,12087,963
Florida,Nassau,2.59194672197006,Percent,12089,964
Florida,Okaloosa,3.1005022554320867,Percent,12091,965
Florida,Okeechobee,10.621741316649324,Percent,12093,966
Florida,Orange,2.298489628056542,Percent,12095,967
Florida,Osceola,4.307367208365794,Percent,12097,968
Florida,Palm Beach,1.241741841752785,Percent,12099,969
Florida,Pasco,3.2381073093675132,Percent,12101,970
Florida,Pinellas,1.2977554726321066,Percent,12103,971
Florida,Polk,4.51409727269587,Percent,12105,972
Florida,Putnam,5.787549301935564,Percent,12107,973
Florida,St. Johns,2.1070673144656085,Percent,12109,974
Florida,St. Lucie,4.417543415631341,Percent,12111,975
Florida,Santa Rosa,4.23441349586078,Percent,12113,976
Florida,Sarasota,1.7268161673484235,Percent,12115,977
Florida,Seminole,1.9954269969734313,Percent,12117,978
Florida,Sumter,1.3236779374426249,Percent,12119,979
Florida,Suwannee,3.0084797274663386,Percent,12121,980
Florida,Taylor,5.940300556319672,Percent,12123,981
Florida,Union,2.5054455881183793,Percent,12125,982
Florida,Volusia,4.817760238483163,Percent,12127,983
Florida,Wakulla,0.3001048094706912,Percent,12129,984
Florida,Walton,1.8559062313447647,Percent,12131,985
Florida,Washington,6.300970877240884,Percent,12133,986
Georgia,Appling,4.154503469423878,Percent,13001,987
Georgia,Atkinson,7.658750623797385,Percent,13003,988
Georgia,Bacon,2.0661101318345967,Percent,13005,989
Georgia,Baker,13.500206038977916,Percent,13007,990
Georgia,Baldwin,3.2828269709566116,Percent,13009,991
Georgia,Banks,0.5117231075197104,Percent,13011,992
Georgia,Barrow,2.242684323157257,Percent,13013,993
Georgia,Bartow,5.18343739078098,Percent,13015,994
Georgia,Ben Hill,6.845651309924065,Percent,13017,995
Georgia,Berrien,5.566815966715907,Percent,13019,996
Georgia,Bibb,5.160454173499295,Percent,13021,997
Georgia,Bleckley,1.1785179216926782,Percent,13023,998
Georgia,Brantley,1.0399401536419723,Percent,13025,999
Georgia,Brooks,1.5145635811485985,Percent,13027,565
Georgia,Bryan,2.0750545816621906,Percent,13029,573
Georgia,Bulloch,0.9561378253284458,Percent,13031,579
Georgia,Burke,1.8107059614930154,Percent,13033,583
Georgia,Butts,1.5486429705356302,Percent,13035,588
Georgia,Calhoun,3.9130011636997106,Percent,13037,592
Georgia,Camden,4.553602058611066,Percent,13039,603
Georgia,Candler,0.9635774287135832,Percent,13043,616
Georgia,Carroll,4.1403142293662185,Percent,13045,620
Georgia,Catoosa,4.336205274483922,Percent,13047,626
Georgia,Charlton,3.481125051986478,Percent,13049,635
Georgia,Chatham,1.9651952898619633,Percent,13051,646
Georgia,Chattahoochee,11.094929490047727,Percent,13053,656
Georgia,Chattooga,1.2618922811330855,Percent,13055,659
Georgia,Cherokee,2.264744675859395,Percent,13057,662
Georgia,Clarke,5.22440528359136,Percent,13059,666
Georgia,Clay,31.450721209209693,Percent,13061,670
Georgia,Clayton,8.34601809162123,Percent,13063,673
Georgia,Clinch,2.7559920401149225,Percent,13065,676
Georgia,Cobb,3.1887240607458587,Percent,13067,680
Georgia,Coffee,2.942547337405487,Percent,13069,684
Georgia,Colquitt,4.144086496117827,Percent,13071,689
Georgia,Columbia,0.8303142048363756,Percent,13073,692
Georgia,Cook,2.209547630765452,Percent,13075,697
Georgia,Coweta,2.378571072571563,Percent,13077,700
Georgia,Crawford,0.1409544456279544,Percent,13079,704
Georgia,Crisp,2.4732587097501706,Percent,13081,707
Georgia,Dade,0.8687456772438737,Percent,13083,708
Georgia,Dawson,0.067559956978508,Percent,13085,713
Georgia,Decatur,3.0877675167270744,Percent,13087,714
Georgia,DeKalb,3.984743271748066,Percent,13089,718
Georgia,Dodge,0.8355654630622122,Percent,13091,720
Georgia,Dooly,0.4657449449280647,Percent,13093,724
Georgia,Dougherty,10.462967479639723,Percent,13095,728
Georgia,Douglas,5.733616939655071,Percent,13097,731
Georgia,Early,2.512608531794702,Percent,13099,735
Georgia,Echols,1.1298287039608126,Percent,13101,737
Georgia,Effingham,1.0871396581272608,Percent,13103,742
Georgia,Elbert,5.420604925546148,Percent,13105,746
Georgia,Emanuel,6.622411644567876,Percent,13107,750
Georgia,Evans,1.449683901658676,Percent,13109,754
Georgia,Fannin,0.13449213791871995,Percent,13111,755
Georgia,Fayette,1.9831844563630123,Percent,13113,760
Georgia,Floyd,3.690705998241164,Percent,13115,764
Georgia,Forsyth,1.1844540450234717,Percent,13117,768
Georgia,Franklin,0.19736353262159717,Percent,13119,772
Georgia,Fulton,3.520053765566786,Percent,13121,779
Georgia,Gilmer,1.0533700901323582,Percent,13123,781
Georgia,Glascock,9.559589596153529,Percent,13125,783
Georgia,Glynn,4.017409376453925,Percent,13127,793
Georgia,Gordon,2.9380507811415013,Percent,13129,796
Georgia,Grady,3.0593190885732002,Percent,13131,797
Georgia,Greene,0.538228753506774,Percent,13133,800
Georgia,Gwinnett,2.6708578666987957,Percent,13135,804
Georgia,Habersham,2.5590514467724796,Percent,13137,806
Georgia,Hall,3.5541084417871183,Percent,13139,808
Georgia,Hancock,3.553963327198533,Percent,13141,810
Georgia,Haralson,0.9615300086994143,Percent,13143,813
Georgia,Harris,0.058139180444368097,Percent,13145,814
Georgia,Hart,2.249247389631005,Percent,13147,816
Georgia,Heard,1.4463155222207114,Percent,13149,817
Georgia,Henry,3.7483238876081133,Percent,13151,820
Georgia,Houston,4.003242180106445,Percent,13153,823
Georgia,Irwin,1.0554801608342261,Percent,13155,825
Georgia,Jackson,0.9319894965688283,Percent,13157,828
Georgia,Jasper,4.749591593261301,Percent,13159,830
Georgia,Jeff Davis,2.2217400930743545,Percent,13161,832
Georgia,Jefferson,1.246591380572764,Percent,13163,834
Georgia,Jenkins,0.8120370080098339,Percent,13165,835
Georgia,Johnson,2.0073582418179177,Percent,13167,837
Georgia,Jones,2.0168496415755808,Percent,13169,839
Georgia,Lamar,1.212516439523566,Percent,13171,841
Georgia,Lanier,0.8912270089527716,Percent,13173,845
Georgia,Laurens,2.170047909144579,Percent,13175,847
Georgia,Lee,1.4859855780867504,Percent,13177,849
Georgia,Liberty,5.349100798202889,Percent,13179,855
Georgia,Lincoln,0.8920738174990429,Percent,13181,857
Georgia,Long,1.7853790353300598,Percent,13183,860
Georgia,Lowndes,3.974837423100687,Percent,13185,863
Georgia,Lumpkin,0.22929177543990262,Percent,13187,865
Georgia,McDuffie,2.049158396304669,Percent,13189,868
Georgia,McIntosh,1.8191036429816947,Percent,13191,871
Georgia,Macon,2.4746035396632924,Percent,13193,874
Georgia,Madison,0.4887116726341635,Percent,13195,875
Georgia,Marion,0.009753345021683919,Percent,13197,877
Georgia,Meriwether,1.300889517981659,Percent,13199,879
Georgia,Miller,0.6954450098964964,Percent,13201,881
Georgia,Mitchell,2.022103299772241,Percent,13205,883
Georgia,Monroe,1.6136890326839581,Percent,13207,885
Georgia,Montgomery,3.378587077578522,Percent,13209,887
Georgia,Morgan,3.2472351404286637,Percent,13211,890
Georgia,Murray,2.4828290829562927,Percent,13213,892
Georgia,Muscogee,4.956862076430002,Percent,13215,896
Georgia,Newton,5.200926221311602,Percent,13217,899
Georgia,Oconee,1.888381265327861,Percent,13219,901
Georgia,Oglethorpe,0.7249347795113847,Percent,13221,905
Georgia,Paulding,2.9843424883983576,Percent,13223,908
Georgia,Peach,5.250281865366057,Percent,13225,910
Georgia,Pickens,0.6629262992777681,Percent,13227,912
Georgia,Pierce,2.2418985947804884,Percent,13229,915
